pitcher,Player,Team,Position,Signal,Luck Score,ERA,FIP,xERA,Ownership %,CBS Rank,CBS FPTS,Type
664299,Cristian Javier,HOU,,Neutral,0.0,10.8,9.39,6.674,0.92,,,Pitcher
608371,Lucas Sims,CWS,,Neutral,0.0,5.59,5.03,5.8,0.01,,,Pitcher
641778,Eric Lauer,TOR,,Neutral,0.0,5.81,6.32,5.463,1.84,,,Pitcher
641927,Bailey Ober,MIN,,Neutral,0.0,3.82,4.06,3.673,31.53,51.0,,Pitcher
670245,Ryan Watson,BOS,,Neutral,0.0,5.23,6.56,4.872,0.05,,,Pitcher
670990,Yohan Ramírez,PIT,,Neutral,0.0,3.18,3.21,2.063,1.0,129.0,,Pitcher
685801,Hunter Bigge,TB,,Neutral,0.0,4.09,0.03,0.96,0.05,,,Pitcher
621237,José Alvarado,PHI,,Neutral,0.0,7.15,2.38,3.336,0.73,,,Pitcher
621366,Ryan Borucki,SF,,Neutral,0.0,8.74,4.76,4.085,0.01,,,Pitcher
669062,Erik Miller,SF,,Neutral,0.0,5.56,1.59,1.095,1.42,,,Pitcher
547973,Aroldis Chapman,BOS,,Neutral,0.0,2.38,1.59,4.151,91.7,84.0,,Pitcher
815083,Mitch Farris,LAA,,Neutral,0.0,3.0,3.7,4.738,0.02,,,Pitcher
656427,Jack Flaherty,DET,,Neutral,0.0,5.59,6.06,5.162,40.88,,,Pitcher
641743,Anthony Kay,CWS,,Neutral,0.0,5.83,6.37,6.978,0.5,,,Pitcher
682052,Jacob Lopez,ATH,,Neutral,0.0,6.04,6.35,3.204,0.61,,,Pitcher
687396,Brent Headrick,NYY,,Neutral,0.0,1.5,1.55,2.945,0.41,128.0,,Pitcher
676760,Ron Marinaccio,SD,,Neutral,0.0,3.86,4.46,4.793,0.03,,,Pitcher
595014,Blake Treinen,LAD,,Neutral,0.0,3.72,4.45,5.758,0.69,,,Pitcher
669093,Jeremiah Estrada,SD,,Neutral,0.0,3.72,3.2,4.183,10.52,,,Pitcher
628452,Raisel Iglesias,ATL,,Neutral,0.0,0.0,0.62,-0.671,82.12,90.0,,Pitcher
679775,Kyle Backhus,PHI,,Neutral,0.0,6.52,3.93,2.997,0.03,,,Pitcher
592094,Jason Adam,SD,,Neutral,0.0,1.8,4.2,1.367,14.54,,,Pitcher
615698,Cal Quantrill,TEX,,Neutral,0.0,5.0,3.81,5.49,0.03,,,Pitcher
572143,Burch Smith,DET,,Neutral,0.0,2.25,0.28,1.301,0.03,,,Pitcher
642232,Ryan Yarbrough,NYY,,Neutral,0.0,5.23,6.49,2.483,0.28,,,Pitcher
663767,Chase Shugart,PHI,,Neutral,0.0,1.74,1.28,1.061,0.06,,,Pitcher
682120,Tim Herrin,CLE,,Neutral,0.0,3.48,3.77,2.167,0.08,,,Pitcher
594798,Jacob Degrom,TEX,,Neutral,0.0,2.7,3.17,3.239,98.21,49.0,,Pitcher
656876,Drew Rasmussen,TB,,Neutral,0.0,3.44,3.63,2.854,84.0,37.0,,Pitcher
665795,Edward Cabrera,CHC,,Neutral,0.0,3.79,3.92,4.114,61.93,32.0,,Pitcher
680755,Braydon Fisher,TOR,,Neutral,0.0,3.63,0.53,-0.947,1.01,135.0,,Pitcher
686973,Louis Varland,TOR,,Neutral,0.0,2.55,0.56,-0.102,52.74,74.0,,Pitcher
668933,Graham Ashcraft,CIN,,Neutral,0.0,1.53,2.71,2.216,7.32,132.0,,Pitcher
681217,Chase Silseth,LAA,,Neutral,0.0,10.32,5.03,4.424,0.18,,,Pitcher
623149,Paul Sewald,AZ,,Neutral,0.0,3.86,4.54,3.413,33.05,106.0,,Pitcher
676684,Will Vest,DET,,Neutral,0.0,6.17,3.43,2.776,5.31,,,Pitcher
672582,Angel Zerpa,MIL,,Neutral,0.0,7.71,5.4,6.739,0.13,,,Pitcher
682995,Hunter Barco,PIT,,Neutral,0.0,8.0,6.7,5.662,0.21,,,Pitcher
646241,Enmanuel De jesus,DET,,Neutral,0.0,10.03,1.03,2.032,0.06,,,Pitcher
675989,Cody Bolton,HOU,,Neutral,0.0,0.93,2.93,4.875,0.21,,,Pitcher
663485,Cole Sands,MIN,,Neutral,0.0,6.17,1.03,-0.007,0.64,,,Pitcher
666974,Yennier Cano,BAL,,Neutral,0.0,3.09,2.48,3.455,0.59,,,Pitcher
670059,Colin Holderman,CLE,,Neutral,0.0,1.12,1.4,2.385,0.04,,,Pitcher
656641,Jacob Latz,TEX,,Neutral,0.0,2.04,1.9,0.83,10.64,98.0,,Pitcher
676428,Brant Hurter,DET,,Neutral,0.0,2.53,3.59,2.174,0.83,93.0,,Pitcher
663765,Jake Woodford,MIL,,Neutral,0.0,4.5,2.43,5.181,0.03,,,Pitcher
623211,Huascar Brazobán,NYM,,Neutral,0.0,6.06,0.78,1.254,0.41,127.0,,Pitcher
689296,Anthony Nunez,BAL,,Neutral,0.0,8.82,3.78,0.615,0.82,157.0,,Pitcher
663542,Bryan Hudson,CWS,,Neutral,0.0,3.24,3.53,5.544,0.22,164.0,,Pitcher
693855,Ian Seymour,TB,,Neutral,0.0,4.86,1.03,-3.287,10.18,,,Pitcher
699134,Bradgley Rodriguez,SD,,Neutral,0.0,4.32,0.03,-4.443,0.33,,,Pitcher
643511,Tyler Rogers,TOR,,Neutral,0.0,2.7,1.98,0.528,15.78,,,Pitcher
677865,Justin Bruihl,STL,,Neutral,0.0,7.94,2.53,0.507,0.03,,,Pitcher
675848,Juan Mejia,COL,,Neutral,0.0,2.65,0.03,-2.435,0.08,,,Pitcher
642397,Gregory Soto,PIT,,Neutral,0.0,1.59,2.29,0.721,22.86,83.0,,Pitcher
702275,Jr Ritchie,ATL,,Neutral,0.0,4.24,6.85,5.36,13.58,,,Pitcher
801139,Payton Tolle,BOS,,Neutral,0.0,2.6,2.34,0.961,28.08,118.0,,Pitcher
669276,Dylan Lee,ATL,,Neutral,0.0,1.04,0.69,0.24,4.22,108.0,,Pitcher
672782,Yoendrys Gómez,TB,,Neutral,0.0,6.23,6.11,7.491,0.04,,,Pitcher
686993,Justin Sterner,ATH,,Neutral,0.0,5.19,0.72,3.217,0.71,,,Pitcher
664199,Taylor Clarke,AZ,,Neutral,0.0,5.62,3.37,2.15,0.46,,,Pitcher
660761,José Suarez,ATL,,Neutral,0.0,3.29,2.59,2.521,0.12,,,Pitcher
676755,Isaac Mattson,PIT,,Neutral,0.0,3.38,3.19,6.317,0.68,,,Pitcher
656271,Brock Burke,CIN,,Neutral,0.0,5.06,2.6,-0.162,0.3,,,Pitcher
641312,Shaun Anderson,LAA,,Neutral,0.0,5.11,6.19,4.895,0.01,,,Pitcher
670329,Rico Garcia,BAL,,Neutral,0.0,0.56,0.03,-0.461,14.04,75.0,,Pitcher
641302,Tyler Alexander,TEX,,Neutral,0.0,3.94,2.6,0.495,3.66,137.0,,Pitcher
693686,Spencer Miles,TOR,,Neutral,0.0,0.93,1.79,0.701,0.1,169.0,,Pitcher
694335,Matt Svanson,STL,,Neutral,0.0,8.15,6.95,5.502,0.32,,,Pitcher
670970,Adrián Morejón,SD,,Neutral,0.0,7.13,5.53,3.031,7.56,156.0,,Pitcher
669199,Lake Bachar,MIA,,Neutral,0.0,1.15,2.58,0.318,0.1,161.0,,Pitcher
678606,Jose Ferrer,SEA,,Neutral,0.0,2.55,3.78,3.031,0.86,,,Pitcher
695243,Mason Miller,SD,,Neutral,0.0,1.1,-0.37,-2.521,99.4,8.0,,Pitcher
674370,Osvaldo Bido,ATL,,Neutral,0.0,4.97,6.11,5.357,0.07,,,Pitcher
670036,Matt Festa,CLE,,Neutral,0.0,7.71,1.87,3.414,0.11,158.0,,Pitcher
571948,Hoby Milner,CHC,,Neutral,0.0,2.76,5.26,4.903,0.22,,,Pitcher
596001,Jakob Junis,TEX,,Neutral,0.0,0.0,1.03,0.623,10.33,123.0,,Pitcher
687911,Bryan King,HOU,,Neutral,0.0,6.89,3.03,4.251,2.35,172.0,,Pitcher
672335,Cionel Pérez,WSH,,Neutral,0.0,4.02,3.03,1.628,0.11,,,Pitcher
666661,Juan Morillo,AZ,,Neutral,0.0,2.87,2.17,0.355,7.66,141.0,,Pitcher
642528,Jonathan Loáisiga,AZ,,Neutral,0.0,5.17,3.06,4.207,0.25,,,Pitcher
642701,Dennis Santana,PIT,,Neutral,0.0,4.6,4.91,5.425,17.43,165.0,,Pitcher
667463,John King,MIA,,Neutral,0.0,1.72,3.19,1.638,0.21,134.0,,Pitcher
691799,Grant Taylor,CWS,,Neutral,0.0,2.7,1.03,6.244,4.23,166.0,,Pitcher
679358,Eric Orze,MIN,,Neutral,0.0,5.4,3.95,0.039,0.06,,,Pitcher
676617,Riley O'brien,STL,,Neutral,0.0,4.86,1.26,1.093,82.04,12.0,,Pitcher
668941,Jojo Romero,STL,,Neutral,0.0,2.65,5.17,5.774,8.95,,,Pitcher
676571,Pj Poulin,WSH,,Neutral,0.0,4.76,5.03,3.293,0.08,168.0,,Pitcher
656546,Jeff Hoffman,TOR,,Neutral,0.0,6.19,2.31,3.018,50.11,175.0,,Pitcher
606996,Kyle Hart,SD,,Neutral,0.0,4.09,3.03,3.019,0.1,,,Pitcher
601713,Nick Pivetta,SD,,Neutral,0.0,4.5,1.15,0.463,71.47,,,Pitcher
700712,Walbert Urena,LAA,,Neutral,0.0,3.14,3.94,2.419,0.72,,,Pitcher
544150,Albert Suárez,BAL,,Neutral,0.0,4.73,5.43,4.312,0.07,174.0,,Pitcher
592773,Ryne Stanek,STL,,Neutral,0.0,7.8,3.8,4.305,0.44,,,Pitcher
668873,Caleb Kilian,SF,,Neutral,0.0,1.8,1.03,-1.784,1.0,145.0,,Pitcher
664875,Justin Lawrence,PIT,,Neutral,0.0,6.0,4.86,5.433,0.06,,,Pitcher
663574,Tony Santillan,CIN,,Neutral,0.0,3.0,5.26,5.223,15.68,176.0,,Pitcher
681867,Cooper Criswell,SEA,,Neutral,0.0,3.0,3.03,3.88,0.26,159.0,,Pitcher
656464,Kevin Ginkel,AZ,,Neutral,0.0,4.8,-0.97,-5.166,1.64,,,Pitcher
681982,Grant Anderson,MIL,,Neutral,0.0,5.06,1.78,-1.404,0.26,,,Pitcher
605130,Scott Barlow,ATH,,Neutral,0.0,2.76,4.9,3.399,0.26,,,Pitcher
640448,Kyle Finnegan,DET,,Neutral,0.0,0.55,4.04,2.624,4.54,136.0,,Pitcher
700249,Cade Povich,BAL,,Neutral,0.0,4.41,4.99,5.198,0.57,,,Pitcher
673929,Jordan Leasure,CWS,,Neutral,0.0,7.16,6.18,6.313,0.47,,,Pitcher
670280,David Bednar,NYY,,Neutral,0.0,5.87,1.63,1.96,89.68,55.0,,Pitcher
671212,Joe Boyle,TB,,Neutral,0.0,6.46,2.96,4.577,1.69,,,Pitcher
669084,Dl Hall,MIL,,Neutral,0.0,4.11,3.03,4.61,0.16,,,Pitcher
666277,George Soriano,STL,,Neutral,0.0,4.7,1.53,1.872,0.21,167.0,,Pitcher
663992,Richard Lovelady,NYM,,Neutral,0.0,5.02,4.28,2.23,0.06,,,Pitcher
656638,Alex Lange,KC,,Neutral,0.0,6.91,0.78,3.317,0.03,,,Pitcher
663947,Tyler Holton,DET,,Neutral,0.0,5.65,1.03,-0.444,0.83,,,Pitcher
656945,Tanner Scott,LAD,,Neutral,0.0,2.51,3.14,3.646,18.98,146.0,,Pitcher
668674,Lucas Erceg,KC,,Neutral,0.0,3.77,3.35,3.675,30.88,34.0,,Pitcher
657612,Tim Hill,NYY,,Neutral,0.0,0.63,3.49,2.753,1.21,,,Pitcher
687064,Brandon Young,BAL,,Neutral,0.0,7.98,5.48,5.701,1.42,,,Pitcher
595345,Steven Okert,HOU,,Neutral,0.0,6.89,4.59,4.675,0.17,,,Pitcher
593974,Wandy Peralta,SD,,Neutral,0.0,6.89,2.53,2.724,0.07,,,Pitcher
660825,Eduard Bazardo,SEA,,Neutral,0.0,1.72,2.42,2.532,0.84,154.0,,Pitcher
667297,Tommy Nance,TOR,,Neutral,0.0,3.94,2.44,3.211,0.05,,,Pitcher
641755,Tyler Kinley,ATL,,Neutral,0.0,3.38,3.87,2.205,1.57,162.0,,Pitcher
681870,Erik Sabrowski,CLE,,Neutral,0.0,3.07,1.84,2.018,20.93,171.0,,Pitcher
702193,Andrew Morris,MIN,,Neutral,0.0,2.25,2.78,2.097,0.06,,,Pitcher
664141,Jt Brubaker,SF,,Neutral,0.0,2.4,2.17,5.589,0.06,,,Pitcher
668984,Casey Legumina,SEA,,Neutral,0.0,3.6,4.18,8.067,0.02,,,Pitcher
663362,Matt Waldron,SD,,Neutral,0.0,8.56,6.25,4.522,0.33,,,Pitcher
676254,Ryan Walker,SF,,Neutral,0.0,4.61,3.14,3.569,19.01,,,Pitcher
596133,Luke Weaver,NYM,,Neutral,0.0,6.43,3.85,3.925,4.08,,,Pitcher
660853,Enyel De los santos,HOU,,Neutral,0.0,3.21,9.03,-0.212,1.1,,,Pitcher
643377,Griffin Jax,TB,,Neutral,0.0,5.79,2.63,4.915,30.72,,,Pitcher
621112,Paul Blackburn,NYY,,Neutral,0.0,6.43,2.46,3.112,0.05,,,Pitcher
641941,Emilio Pagán,CIN,,Neutral,0.0,5.79,5.5,4.735,64.93,97.0,,Pitcher
662253,Andrés Muñoz,SEA,,Neutral,0.0,5.28,3.65,4.978,89.28,66.0,,Pitcher
656222,Jalen Beeks,TEX,,Neutral,0.0,4.11,3.45,3.397,0.17,,,Pitcher
671922,Cade Smith,CLE,,Neutral,0.0,5.28,2.08,3.518,94.39,42.0,,Pitcher
663158,Robert Suarez,ATL,,Neutral,0.0,1.17,1.3,1.608,59.41,58.0,,Pitcher
623437,Justin Topa,MIN,,Neutral,0.0,5.28,5.54,5.408,0.21,,,Pitcher
643410,Mark Leiter,ATH,,Neutral,0.0,8.79,3.83,5.757,,,,Pitcher
594580,Sam Moll,CIN,,Neutral,0.0,3.77,4.03,2.73,0.04,,,Pitcher
