batter,Player,Team,Position,Signal,Luck Score,wOBA,xwOBA,xwOBA Gap,Ownership %,FP Rank,CBS Rank,CBS FPTS,Type
687462,Spencer Horwitz,PIT,1B,Neutral,0.0998,0.358,0.333,-0.025,1.39,,143.0,70.5,Hitter
593428,Xander Bogaerts,SD,SS,Neutral,0.0994,0.36,0.363,0.003,32.9,,57.0,103.5,Hitter
592206,Nick Castellanos,SD,,Neutral,0.0977,0.232,0.311,0.079,0.86,,,,Hitter
691406,Junior Caminero,TB,3B,Neutral,0.0957,0.351,0.375,0.024,99.66,,51.0,105.0,Hitter
543760,Marcus Semien,NYM,2B,Neutral,0.0941,0.247,0.283,0.036,46.21,,204.0,55.0,Hitter
660821,Jesús Sánchez,TOR,RF,Neutral,0.0931,0.284,0.341,0.057,2.7,,160.0,67.0,Hitter
677950,Alek Thomas,AZ,CF,Neutral,0.0925,0.272,0.3,0.028,0.68,,199.0,56.0,Hitter
687363,Victor Scott,STL,,Neutral,0.0919,0.221,0.263,0.042,1.46,,,,Hitter
672580,Maikel García,KC,3B,Neutral,0.0894,0.319,0.353,0.034,87.32,,71.0,93.5,Hitter
680779,Henry Davis,PIT,RF,Neutral,0.089,0.241,0.283,0.042,0.53,,248.0,41.0,Hitter
808959,Munetaka Murakami,CWS,1B,Neutral,0.0886,0.388,0.42,0.032,91.36,,18.0,128.5,Hitter
547180,Bryce Harper,PHI,DH,Neutral,0.0871,0.417,0.434,0.017,96.0,29.0,15.0,131.5,Hitter
521692,Salvador Pérez,KC,C,Neutral,0.0859,0.264,0.301,0.037,70.73,,142.0,70.5,Hitter
695600,Carter Jensen,KC,C,Neutral,0.0843,0.328,0.33,0.002,21.71,,146.0,69.5,Hitter
663538,Nico Hoerner,CHC,2B,Neutral,0.0842,0.379,0.398,0.019,98.92,,9.0,135.0,Hitter
608701,Rob Refsnyder,SEA,,Neutral,0.0841,0.217,0.3,0.083,0.12,,,,Hitter
669357,Nolan Gorman,STL,2B,Neutral,0.0839,0.289,0.318,0.029,5.04,,138.0,71.5,Hitter
621439,Byron Buxton,MIN,DH,Neutral,0.0837,0.355,0.384,0.029,85.31,,28.0,115.0,Hitter
660844,Leo Rivas,SEA,,Neutral,0.0809,0.219,0.235,0.016,0.12,,,,Hitter
688363,Graham Pauley,MIA,3B,Neutral,0.0802,0.249,0.227,-0.022,0.09,,268.0,35.5,Hitter
624413,Pete Alonso,BAL,1B,Neutral,0.0788,0.343,0.377,0.034,97.76,17.0,50.0,105.0,Hitter
678246,Miguel Vargas,CWS,2B,Neutral,0.0787,0.366,0.415,0.049,56.0,,22.0,124.0,Hitter
691785,Marcelo Mayer,BOS,2B,Neutral,0.0764,0.29,0.305,0.015,3.06,,216.0,51.0,Hitter
701358,Cam Smith,HOU,3B,Neutral,0.0759,0.306,0.359,0.053,14.27,,101.0,84.0,Hitter
679529,Spencer Torkelson,DET,1B,Neutral,0.0757,0.333,0.374,0.041,28.26,,129.0,75.5,Hitter
596142,Gary Sánchez,MIL,C,Neutral,0.0727,0.371,0.395,0.024,4.81,,155.0,68.0,Hitter
518692,Freddie Freeman,LAD,1B,Neutral,0.072,0.336,0.384,0.048,95.37,6.0,83.0,89.5,Hitter
701675,Nathan Church,STL,OF,Neutral,0.0662,0.299,0.347,0.048,4.83,,137.0,72.0,Hitter
687401,Joey Ortiz,MIL,,Neutral,0.0662,0.21,0.259,0.049,0.95,,,,Hitter
681351,Logan O'hoppe,LAA,C,Neutral,0.0644,0.268,0.298,0.03,2.41,,250.0,39.5,Hitter
671739,Michael Harris,ATL,,Neutral,0.064,0.372,0.474,0.102,79.33,,70.0,,Hitter
694374,Tim Tawa,AZ,2B,Neutral,0.0625,0.25,0.304,0.054,0.12,,299.0,20.5,Hitter
677951,Bobby Witt,KC,,Neutral,0.0615,0.355,0.395,0.04,99.8,,29.0,,Hitter
671289,Tyler Freeman,COL,3B,Neutral,0.0558,0.324,0.354,0.03,0.39,,234.0,45.5,Hitter
676914,Davis Schneider,TOR,2B,Neutral,0.0539,0.281,0.321,0.04,0.45,,262.0,37.0,Hitter
663697,Jonathan India,KC,2B,Neutral,0.0526,0.304,0.313,0.009,7.92,,274.0,34.5,Hitter
673237,Yainer Diaz,HOU,C,Neutral,0.052,0.282,0.273,-0.009,51.66,,223.0,50.0,Hitter
660688,Keibert Ruiz,WSH,C,Neutral,0.0518,0.218,0.233,0.015,1.0,,284.0,29.5,Hitter
696285,Jacob Young,WSH,CF,Neutral,0.0508,0.258,0.296,0.038,0.7,,196.0,57.5,Hitter
678218,Brandon Valenzuela,TOR,C,Neutral,0.0489,0.28,0.305,0.025,0.39,,292.0,26.5,Hitter
694377,Nick Yorke,PIT,2B,Neutral,0.0472,0.293,0.33,0.037,0.18,,273.0,34.5,Hitter
682877,Juan Brito,CLE,SS,Neutral,0.046,0.232,0.256,0.024,0.08,,302.0,19.5,Hitter
695734,Daylen Lile,WSH,RF,Neutral,0.046,0.322,0.342,0.02,41.69,,90.0,87.5,Hitter
664040,Brandon Lowe,PIT,2B,Neutral,0.0438,0.371,0.398,0.027,77.78,,54.0,105.0,Hitter
655316,Andruw Monasterio,BOS,3B,Neutral,0.0432,0.295,0.328,0.033,0.15,,275.0,34.0,Hitter
800050,Chase Delauter,CLE,RF,Neutral,0.0413,0.384,0.396,0.012,79.52,,40.0,109.0,Hitter
668715,Spencer Steer,CIN,1B,Neutral,0.0407,0.34,0.381,0.041,8.16,,134.0,73.0,Hitter
664983,Jake Mccarthy,COL,RF,Neutral,0.0404,0.338,0.302,-0.036,0.37,,221.0,50.0,Hitter
641933,Tyler O'neill,BAL,,Neutral,0.0399,0.298,0.305,0.007,0.78,,,,Hitter
502671,Paul Goldschmidt,NYY,1B,Neutral,0.0366,0.324,0.42,0.096,1.22,,266.0,36.5,Hitter
694384,Nolan Schanuel,LAA,1B,Neutral,0.0358,0.31,0.322,0.012,6.93,,108.0,82.0,Hitter
686452,Drew Millas,WSH,C,Neutral,0.0356,0.213,0.259,0.046,0.05,,318.0,14.5,Hitter
642708,Amed Rosario,NYY,SS,Neutral,0.0354,0.349,0.385,0.036,1.22,,220.0,50.5,Hitter
680728,Adrian Del castillo,AZ,C,Neutral,0.0348,0.294,0.309,0.015,0.21,,247.0,41.0,Hitter
642851,Austin Wynns,ATH,C,Neutral,0.0347,0.137,0.283,0.146,0.06,,353.0,4.0,Hitter
641857,Ryan Mcmahon,NYY,3B,Neutral,0.0337,0.291,0.341,0.05,1.34,,227.0,48.0,Hitter
670242,Matt Wallner,MIN,,Neutral,0.0335,0.256,0.3,0.044,1.18,,,,Hitter
592663,J. t. Realmuto,PHI,C,Neutral,0.0332,0.318,0.317,-0.001,14.52,,,37.0,Hitter
593871,Jorge Polanco,NYM,1B,Neutral,0.0324,0.221,0.28,0.059,10.74,,298.0,20.5,Hitter
664056,Harrison Bader,SF,,Neutral,0.0321,0.159,0.28,0.121,1.75,,,,Hitter
683083,Nasim Nuñez,WSH,2B,Neutral,0.0314,0.277,0.28,0.003,4.5,,107.0,82.0,Hitter
677956,Rece Hinds,CIN,,Neutral,0.0312,0.168,0.152,-0.016,0.12,,,,Hitter
803011,Sam Antonacci,CWS,SS,Neutral,0.0305,0.374,0.42,0.046,5.87,,226.0,48.5,Hitter
666023,Freddy Fermin,SD,C,Neutral,0.0302,0.275,0.271,-0.004,0.54,,290.0,27.5,Hitter
686681,Michael Massey,KC,2B,Neutral,0.0299,0.266,0.29,0.024,0.17,,263.0,37.0,Hitter
687231,Darell Hernaiz,ATH,SS,Neutral,0.0292,0.275,0.271,-0.004,0.17,,280.0,31.0,Hitter
660162,Yoán Moncada,LAA,3B,Neutral,0.0287,0.276,0.295,0.019,0.25,,239.0,44.0,Hitter
650402,Gleyber Torres,DET,2B,Neutral,0.0286,0.341,0.365,0.024,62.57,,109.0,82.0,Hitter
701678,Hao-yu Lee,DET,,Neutral,0.0282,0.232,0.288,0.056,0.2,,,,Hitter
689414,Liam Hicks,MIA,C,Neutral,0.0279,0.395,0.44,0.045,87.39,,25.0,119.5,Hitter
621438,Tyrone Taylor,NYM,,Neutral,0.0275,0.247,0.282,0.035,0.16,,,,Hitter
665966,Carlos Narváez,BOS,C,Neutral,0.0258,0.276,0.304,0.028,1.6,,282.0,31.0,Hitter
695020,Tanner Murray,CWS,3B,Neutral,0.0245,0.312,0.33,0.018,0.03,,322.0,13.5,Hitter
642201,Eli White,ATL,,Neutral,0.0238,0.287,0.315,0.028,0.19,,,,Hitter
695336,Thomas Saggese,STL,SS,Neutral,0.0235,0.204,0.215,0.011,0.17,,328.0,11.5,Hitter
672515,Gabriel Moreno,AZ,C,Neutral,0.0234,0.344,0.373,0.029,22.29,,258.0,37.0,Hitter
663368,Blake Perkins,MIL,,Neutral,0.0227,0.243,0.22,-0.023,0.06,,,,Hitter
680700,Richie Palacios,TB,,Neutral,0.0219,0.305,0.369,0.064,0.18,,,,Hitter
666181,Will Benson,CIN,,Neutral,0.0208,0.31,0.306,-0.004,0.18,,,,Hitter
514888,José Altuve,HOU,2B,Neutral,0.0208,0.328,0.328,0.0,94.36,40.0,102.0,83.0,Hitter
665742,Juan Soto,NYM,LF,Neutral,0.0197,0.377,0.477,0.1,99.8,5.0,190.0,59.0,Hitter
687957,Dustin Harris,HOU,,Neutral,0.0193,0.291,0.331,0.04,0.06,,,,Hitter
687093,Vaughn Grissom,LAA,2B,Neutral,0.0177,0.345,0.359,0.014,0.69,,251.0,39.0,Hitter
657041,Lane Thomas,KC,,Neutral,0.0166,0.322,0.332,0.01,0.31,,,,Hitter
677587,Brayan Rocchio,CLE,SS,Neutral,0.0163,0.319,0.308,-0.011,13.77,,92.0,87.0,Hitter
678489,Jorge Barrosa,AZ,,Neutral,0.0158,0.282,0.242,-0.04,0.08,,,,Hitter
661388,William Contreras,MIL,C,Neutral,0.0157,0.352,0.366,0.014,98.59,23.0,56.0,103.5,Hitter
669236,Jeremiah Jackson,BAL,SS,Neutral,0.0154,0.325,0.331,0.006,28.73,,131.0,75.0,Hitter
657757,Gavin Sheets,SD,RF,Neutral,0.0138,0.312,0.317,0.005,4.56,,170.0,65.5,Hitter
682626,Francisco Álvarez,NYM,C,Neutral,0.0137,0.305,0.324,0.019,18.09,,203.0,55.0,Hitter
663330,Jahmai Jones,DET,,Neutral,0.0132,0.309,0.384,0.075,0.1,,,,Hitter
672960,Kazuma Okamoto,TOR,3B,Neutral,0.013,0.358,0.375,0.017,50.99,,60.0,100.0,Hitter
543309,Kyle Higashioka,TEX,,Neutral,0.0106,0.283,0.305,0.022,0.49,,296.0,,Hitter
664034,Ty France,SD,1B,Neutral,0.0094,0.379,0.415,0.036,0.44,,232.0,46.5,Hitter
665019,Kody Clemens,MIN,1B,Neutral,0.0092,0.327,0.37,0.043,0.55,,200.0,56.0,Hitter
665161,Jeremy Peña,HOU,SS,Neutral,0.0086,0.311,0.36,0.049,52.98,,297.0,22.0,Hitter
623168,Tyler Heineman,TOR,C,Neutral,0.0083,0.189,0.225,0.036,0.18,,330.0,11.0,Hitter
656716,Zach Mckinstry,DET,3B,Neutral,0.0069,0.24,0.245,0.005,3.31,,309.0,18.0,Hitter
664954,Brett Sullivan,COL,C,Neutral,0.0056,0.304,0.267,-0.037,0.1,,291.0,27.0,Hitter
668939,Adley Rutschman,BAL,C,Neutral,0.0056,0.378,0.369,-0.009,83.03,13.0,157.0,67.5,Hitter
620443,Luis Torrens,NYM,DH,Neutral,0.0043,0.217,0.266,0.049,0.16,,317.0,15.0,Hitter
641680,Jonah Heim,ATL,C,Neutral,0.004,0.313,0.287,-0.026,0.28,,283.0,30.5,Hitter
596115,Trevor Story,BOS,SS,Neutral,0.0038,0.275,0.263,-0.012,18.88,,178.0,63.5,Hitter
641555,J. c. Escarra,NYY,C,Neutral,0.0034,0.268,0.277,0.009,0.11,,,16.0,Hitter
664770,Nathan Lukes,TOR,,Neutral,0.0031,0.288,0.28,-0.008,0.39,,,,Hitter
669720,Austin Hays,CWS,,Neutral,0.0025,0.249,0.323,0.074,0.73,,,,Hitter
624641,Edmundo Sosa,PHI,3B,Neutral,0.0008,0.311,0.349,0.038,0.38,,276.0,33.5,Hitter
679845,Nick Loftin,KC,1B,Neutral,0.0006,0.37,0.323,-0.047,0.08,,278.0,32.5,Hitter
662139,Daulton Varsho,TOR,LF,Neutral,0.0004,0.33,0.337,0.007,13.51,,125.0,76.5,Hitter
694376,Shay Whitcomb,HOU,SS,Neutral,0.0,0.193,0.197,0.004,0.03,,347.0,5.0,Hitter
669699,Braden Shewmake,HOU,SS,Neutral,0.0,0.479,0.435,-0.044,0.08,,320.0,14.5,Hitter
683953,Travis Bazzana,CLE,2B,Neutral,0.0,0.259,0.392,0.133,18.91,,308.0,18.0,Hitter
691176,Jasson Domínguez,NYY,,Neutral,0.0,0.339,0.394,0.055,9.22,,,,Hitter
571657,Kyle Farmer,ATL,3B,Neutral,0.0,0.304,0.285,-0.019,0.05,,333.0,9.0,Hitter
553869,Elías Díaz,KC,C,Neutral,0.0,0.508,0.486,-0.022,0.07,,319.0,14.5,Hitter
664731,P. j. Higgins,CIN,1B,Neutral,0.0,0.208,0.301,0.093,0.03,,,2.0,Hitter
671286,Johnathan Rodríguez,BAL,,Neutral,0.0,0.191,0.33,0.139,0.03,,,,Hitter
669369,Bryce Johnson,SD,,Neutral,0.0,0.252,0.16,-0.092,0.02,,,,Hitter
683766,Christian Koss,SF,SS,Neutral,0.0,0.096,0.099,0.003,0.03,,368.0,1.0,Hitter
695257,Billy Cook,PIT,,Neutral,0.0,0.277,0.199,-0.078,0.05,,,,Hitter
645302,Víctor Robles,SEA,,Neutral,0.0,0.235,0.256,0.021,0.32,,,,Hitter
669289,Santiago Espinal,LAD,2B,Neutral,0.0,0.2,0.275,0.075,0.07,,332.0,9.5,Hitter
682818,Yohendrick Pinango,TOR,,Neutral,0.0,0.476,0.368,-0.108,0.37,,,,Hitter
665052,Griffin Conine,MIA,,Neutral,0.0,0.402,0.521,0.119,0.21,,,,Hitter
669397,Nick Allen,HOU,SS,Neutral,0.0,0.298,0.302,0.004,0.08,,327.0,11.5,Hitter
691740,Daniel Susac,SF,C,Neutral,0.0,0.5,0.386,-0.114,0.47,,303.0,19.5,Hitter
676724,Jared Young,NYM,1B,Neutral,0.0,0.365,0.364,-0.001,0.03,,321.0,13.5,Hitter
605141,Mookie Betts,LAD,RF,Neutral,0.0,0.306,0.417,0.111,96.84,,289.0,28.0,Hitter
669707,Jared Triolo,PIT,3B,Neutral,0.0,0.267,0.282,0.015,0.38,,329.0,11.5,Hitter
692216,Cj Kayfus,CLE,1B,Neutral,0.0,0.286,0.329,0.043,0.16,,324.0,13.0,Hitter
467793,Carlos Santana,AZ,1B,Neutral,0.0,0.154,0.209,0.055,0.29,,360.0,2.0,Hitter
680718,Addison Barger,TOR,SS,Neutral,0.0,0.146,0.23,0.084,8.66,,349.0,5.0,Hitter
606992,Eric Haase,SF,C,Neutral,0.0,0.34,0.296,-0.044,0.03,,343.0,7.0,Hitter
672012,Tyler Black,MIL,2B,Neutral,0.0,0.443,0.182,-0.261,0.5,,300.0,20.5,Hitter
672356,Gabriel Arias,CLE,SS,Neutral,0.0,0.302,0.335,0.033,0.32,,316.0,15.0,Hitter
664059,Sam Haggerty,TEX,,Neutral,0.0,0.211,0.189,-0.022,0.04,,,,Hitter
694025,Felix Reyes,PHI,,Neutral,0.0,0.18,0.275,0.095,0.22,,,,Hitter
682622,Noelvi Marte,CIN,3B,Neutral,0.0,0.203,0.171,-0.032,6.54,,354.0,4.0,Hitter
596117,Garrett Stubbs,PHI,C,Neutral,0.0,0.253,0.267,0.014,0.08,,342.0,7.0,Hitter
672284,Jarred Kelenic,CWS,,Neutral,0.0,0.333,0.427,0.094,0.06,,,,Hitter
687515,Colby Thomas,ATH,,Neutral,0.0,0.327,0.343,0.016,0.12,,,,Hitter
805249,Otto Kemp,PHI,3B,Neutral,0.0,0.145,0.227,0.082,0.18,,374.0,-0.5,Hitter
675659,Greg Jones,MIL,,Neutral,0.0,0.091,0.176,0.085,0.02,,,,Hitter
672386,Alejandro Kirk,TOR,C,Neutral,0.0,0.252,0.353,0.101,40.54,,326.0,12.0,Hitter
656582,Connor Joe,SEA,,Neutral,0.0,0.325,0.384,0.059,0.04,,,,Hitter
502054,Tommy Pham,NYM,,Neutral,0.0,0.05,0.137,0.087,0.05,,,,Hitter
664238,Dylan Moore,PHI,LF,Neutral,0.0,0.14,0.233,0.093,0.13,,348.0,5.0,Hitter
700246,Carson Williams,TB,SS,Neutral,0.0,0.188,0.22,0.032,0.53,,340.0,7.5,Hitter
668952,Ryan Kreidler,MIN,,Neutral,0.0,0.447,0.499,0.052,0.08,,,,Hitter
624431,Jose Trevino,CIN,C,Neutral,0.0,0.188,0.221,0.033,0.1,,356.0,3.0,Hitter
628451,Andy Ibáñez,ATH,2B,Neutral,0.0,0.162,0.185,0.023,0.05,,344.0,6.5,Hitter
642215,Weston Wilson,BAL,LF,Neutral,0.0,0.364,0.362,-0.002,0.02,,310.0,17.0,Hitter
691011,Drew Romo,CWS,C,Neutral,0.0,0.519,0.576,0.057,0.4,,294.0,25.5,Hitter
682641,Luis Matos,MIL,,Neutral,0.0,0.205,0.13,-0.075,0.06,,,,Hitter
668709,Jj Bleday,CIN,,Neutral,0.0,0.522,0.624,0.102,5.13,,,,Hitter
666624,Christopher Morel,MIA,,Neutral,0.0,0.312,0.295,-0.017,0.35,,,,Hitter
665923,Esteury Ruiz,MIA,,Neutral,0.0,0.41,0.416,0.006,0.41,,,,Hitter
663624,Ryan Mountcastle,BAL,1B,Neutral,0.0,0.31,0.301,-0.009,0.4,,346.0,6.0,Hitter
