batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA,xwOBA_gap,team,park_factor,career_babip,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,park_adj_hrfb_expected,oaa_babip_adj,xwoba_3yr,wrc_plus_3yr,quality_tier,luck_score,platoon_modifier,career_pa,birth_year,age,seasonal_pattern,amplification_cap_applied,verdict,chase_signal,this_is_real,tier_sell,age_flag
663647,Ke'bryan Hayes,62,0.082,0.404,0.085,0.17,90.41702127659576,0.944,0.059,0.08,0.248,0.34,0.34,0.097,0.097,1.0,0.187,0.313,0.126,CIN,1.08,0.2964,0.2964,29,0.2964,0.3301,0.1566,0.002029268292682927,0.29688128772635813,101.8,Above Avg (100-119),0.3392,,2583.0,1997,29,,False,Buy low,,,,
663757,Trent Grisham,82,0.167,0.549,0.078,0.137,91.66078431372549,0.938,0.176,0.412,0.158,0.431,0.333,0.183,0.195,0.938,0.293,0.384,0.091,NYY,1.0,0.2551,0.2551,30,0.2551,0.2588,0.145,0.0036770186335403723,0.339782156133829,107.9,Above Avg (100-119),0.3353,,2892.0,1996,30,,False,Buy low,,,,
621020,Dansby Swanson,101,0.2,0.517,0.133,0.217,90.86333333333332,0.805,0.238,0.467,0.207,0.383,0.35,0.168,0.238,0.708,0.336,0.389,0.053,CHC,1.0,0.3025,0.3025,32,0.2934,0.2948,0.145,0.0013636363636363635,0.33802185501066095,107.3,Above Avg (100-119),0.3124,,5328.0,1994,32,Fader conflict (dampened),False,Buy low,,,,
607208,Trea Turner,107,0.253,0.338,0.039,0.091,88.86753246753247,0.865,0.071,0.273,0.318,0.377,0.364,0.084,0.196,0.429,0.281,0.299,0.018,PHI,1.06,0.3407,0.3407,33,0.3305,0.3501,0.1537,-0.00022641509433962264,0.3252739432851792,109.5,Above Avg (100-119),0.3045,Anti-platoon luck (amplified),5678.0,1993,33,Fader conflict (dampened),False,Buy low,,,,
691720,Kyle Karros,86,0.236,0.393,0.071,0.107,90.34285714285714,0.907,0.111,0.25,0.227,0.393,0.161,0.174,0.174,1.0,0.294,0.37,0.076,COL,1.18,,0.3,24,0.3,0.3507,0.1711,-0.0033170731707317072,0.258,96.6,Average (95-99),0.2936,Platoon-driven (dampened),207.0,2002,24,,False,Buy low,,,,
683737,Michael Busch,98,0.203,0.303,0.061,0.061,83.78939393939395,0.867,0.095,0.394,0.291,0.515,0.318,0.102,0.224,0.455,0.25,0.284,0.034,CHC,1.0,0.2997,0.2997,29,0.2997,0.2917,0.145,0.002022727272727273,0.34612258064516127,109.9,Above Avg (100-119),0.2922,Anti-platoon luck (amplified),1301.0,1997,29,,False,Buy low,,,,
678662,Ezequiel Tovar,98,0.277,0.409,0.091,0.212,88.5530303030303,0.842,0.053,0.318,0.473,0.348,0.288,0.031,0.276,0.111,0.259,0.304,0.045,COL,1.18,0.3095,0.3095,25,0.3095,0.37,0.1711,-0.0032178770949720676,0.29706176470588236,111.3,Above Avg (100-119),0.2917,,1799.0,2001,25,Slow starter (amplified),False,Buy low,,,,
670541,Yordan Álvarez,114,0.306,0.494,0.217,0.277,93.65903614457832,0.941,0.282,0.47,0.256,0.229,0.47,0.158,0.088,1.8,0.518,0.603,0.085,HOU,1.0,0.3499,0.3499,29,0.3499,0.361,0.145,0.003087719298245614,0.4195398496240601,133.2,Superstar (130+),0.2884,Anti-platoon luck (amplified),2943.0,1997,29,Slow starter (amplified),False,Buy low,,Confirmed,,
521692,Salvador Pérez,99,0.186,0.397,0.096,0.151,87.93287671232878,0.81,0.158,0.301,0.437,0.411,0.26,0.04,0.212,0.19,0.222,0.304,0.082,KC,1.0,0.3039,0.3039,36,0.2857,0.2871,0.145,0.0014353562005277045,0.3487928457020822,110.7,Above Avg (100-119),0.282,,6969.0,1990,36,,False,Buy low,,,,
701538,Jackson Merrill,102,0.262,0.485,0.132,0.191,88.68529411764706,0.801,0.167,0.441,0.392,0.429,0.257,0.078,0.225,0.348,0.301,0.343,0.042,SD,1.0,0.3302,0.3302,23,0.3302,0.3347,0.145,0.004534005037783375,0.36243122676579925,115.1,Above Avg (100-119),0.2704,Anti-platoon luck (amplified),1143.0,2003,23,,False,Buy low,,,,
669224,Austin Wells,71,0.159,0.477,0.068,0.159,89.82954545454545,0.819,0.067,0.467,0.252,0.444,0.333,0.169,0.197,0.857,0.232,0.315,0.083,NYY,1.0,0.2743,0.2743,27,0.2743,0.2768,0.145,0.0025277777777777777,0.32165314834578446,102.1,Above Avg (100-119),0.269,Platoon-driven (dampened),987.0,1999,27,,False,Buy low,,,,
702332,Caleb Durbin,83,0.177,0.344,0.016,0.066,85.67540983606557,0.879,0.0,0.387,0.215,0.645,0.097,0.072,0.157,0.462,0.208,0.261,0.053,BOS,1.0,0.306,0.306,26,0.306,0.2932,0.145,-0.0028093645484949833,0.31199999999999994,99.0,Average (95-99),0.2665,Anti-platoon luck (amplified),564.0,2000,26,,False,Buy low,,,,
647304,Josh Naylor,100,0.225,0.37,0.055,0.151,86.34657534246575,0.874,0.133,0.493,0.376,0.411,0.205,0.09,0.17,0.529,0.258,0.319,0.061,SEA,1.0,0.3252,0.3252,29,0.3252,0.323,0.145,-0.0021677419354838713,0.3389543879907621,107.6,Above Avg (100-119),0.2657,Platoon-driven (dampened),2933.0,1997,29,Fader conflict (dampened),False,Buy low,,,,
681198,TJ Rumfield,100,0.288,0.395,0.092,0.171,87.13947368421053,0.929,0.143,0.461,0.319,0.382,0.276,0.08,0.16,0.5,0.335,0.348,0.013,COL,1.18,,0.3,26,0.3,0.3506,0.1711,-0.003358288770053476,,100.0,Above Avg (100-119),0.2553,Platoon-driven (dampened),58.0,2000,26,,False,Buy low,,,,
701398,Sal Stewart,104,0.258,0.486,0.229,0.271,90.8157142857143,0.826,0.308,0.271,0.286,0.414,0.371,0.144,0.183,0.789,0.426,0.46,0.034,CIN,1.08,,0.3,23,0.3,0.3249,0.1566,0.000851063829787234,0.398,136.5,Superstar (130+),0.2552,Platoon-driven (dampened),128.0,2003,23,,False,Buy low,,Confirmed,,
805300,Jakob Marsee,114,0.225,0.366,0.028,0.113,86.59014084507042,0.962,0.048,0.458,0.188,0.361,0.292,0.14,0.211,0.667,0.27,0.287,0.017,MIA,0.95,,0.3,25,0.3,0.285,0.1377,3.3542976939203354e-05,0.347,104.7,Above Avg (100-119),0.2538,Anti-platoon luck (amplified),311.0,2001,25,,False,Buy low,,,,
592450,Aaron Judge,104,0.265,0.534,0.259,0.259,92.13448275862068,0.744,0.529,0.483,0.251,0.414,0.293,0.154,0.269,0.571,0.434,0.476,0.042,NYY,1.0,0.3621,0.3621,34,0.3512,0.3544,0.145,0.003248380129589633,0.4691406844106464,148.9,Superstar (130+),0.251,Platoon-driven (dampened),5072.0,1992,34,V-shape seasonal (strong buy) + fader conflict,False,Buy low,,Confirmed,,
660271,Shohei Ohtani,111,0.283,0.492,0.2,0.185,93.59692307692308,0.858,0.208,0.569,0.341,0.446,0.369,0.135,0.252,0.536,0.357,0.393,0.036,LAD,1.0,0.3423,0.3423,32,0.332,0.3334,0.145,0.0014106728538283062,0.43262566844919786,137.3,Superstar (130+),0.2489,Anti-platoon luck (amplified),4407.0,1994,32,Slow starter (amplified),False,Buy low,,,,
656941,Kyle Schwarber,107,0.233,0.52,0.2,0.26,92.912,0.78,0.35,0.51,0.223,0.3,0.4,0.15,0.346,0.432,0.359,0.416,0.057,PHI,1.06,0.2762,0.2762,33,0.2679,0.2924,0.1537,0.00043935926773455377,0.38271348314606735,128.8,Elite (120-129),0.2371,Platoon-driven (dampened),5456.0,1993,33,V-shape seasonal (strong buy),False,Buy low,,,,
807712,Luke Keaschall,102,0.225,0.262,0.038,0.1,85.005,0.947,0.042,0.284,0.231,0.42,0.296,0.059,0.147,0.4,0.248,0.284,0.036,MIN,1.0,,0.3,24,0.3,0.2994,0.145,-0.0006138107416879795,0.324,102.9,Above Avg (100-119),0.2359,Platoon-driven (dampened),279.0,2002,24,,False,Buy low,,,,
666018,Jonathan Aranda,102,0.25,0.424,0.085,0.186,91.37457627118644,0.899,0.143,0.288,0.286,0.322,0.356,0.176,0.235,0.75,0.332,0.376,0.044,TB,0.94,0.3246,0.3246,28,0.3246,0.3104,0.1363,-0.0027093821510297484,0.3620508982035929,108.0,Above Avg (100-119),0.2348,,825.0,1998,28,,False,Buy low,,,,
545361,Mike Trout,110,0.228,0.46,0.238,0.254,91.06825396825396,0.909,0.259,0.344,0.186,0.328,0.422,0.2,0.2,1.0,0.407,0.466,0.059,LAA,1.0,0.3057,0.3057,35,0.2874,0.293,0.145,-0.0023966942148760328,0.37466283524904215,118.9,Above Avg (100-119),0.2323,Platoon-driven (dampened),7279.0,1991,35,,False,Buy low,,Confirmed,,
542303,Marcell Ozuna,83,0.231,0.415,0.113,0.208,88.47547169811321,0.864,0.125,0.315,0.265,0.278,0.296,0.072,0.265,0.273,0.257,0.329,0.072,PIT,1.0,0.3115,0.3115,36,0.2928,0.3017,0.145,0.0009464788732394367,0.3853418803418803,122.3,Elite (120-129),0.2263,Platoon-driven (dampened),6763.0,1990,36,,False,Buy low,,,,
694497,Evan Carter,89,0.265,0.442,0.115,0.212,88.76923076923077,0.879,0.176,0.327,0.203,0.315,0.315,0.157,0.236,0.667,0.329,0.379,0.05,TEX,1.05,,0.3,24,0.3,0.3248,0.1522,0.001772972972972973,0.30636761487964986,102.1,Above Avg (100-119),0.2199,,514.0,2002,24,,False,Buy low,,,,
678246,Miguel Vargas,98,0.188,0.471,0.132,0.176,88.9514705882353,0.875,0.167,0.294,0.168,0.353,0.353,0.153,0.133,1.154,0.34,0.4,0.06,CWS,1.0,0.2553,0.2553,27,0.2553,0.2544,0.145,-0.0008730964467005077,0.30363603603603606,96.4,Average (95-99),0.219,Platoon-driven (dampened),1222.0,1999,27,,False,Buy low,,,,
547180,Bryce Harper,101,0.275,0.405,0.135,0.216,89.06351351351351,0.865,0.217,0.365,0.379,0.392,0.311,0.129,0.139,0.929,0.392,0.428,0.036,PHI,1.06,0.3307,0.3307,34,0.3208,0.3398,0.1537,-0.0001951219512195122,0.37418725099601596,125.9,Elite (120-129),0.2157,,7734.0,1992,34,Slow starter (amplified) + fader conflict,False,Buy low,,Confirmed,,
669701,Josh Smith,81,0.236,0.364,0.073,0.182,86.42,0.874,0.0,0.364,0.32,0.345,0.345,0.123,0.185,0.667,0.244,0.307,0.063,TEX,1.05,0.287,0.287,29,0.287,0.3111,0.1522,0.00173374613003096,0.31174765681326605,103.9,Above Avg (100-119),0.2143,,1695.0,1997,29,Fader conflict (dampened),False,Buy low,,,,
701807,Carson Benge,71,0.188,0.408,0.041,0.122,90.2265306122449,0.863,0.091,0.286,0.273,0.531,0.224,0.07,0.239,0.294,0.227,0.261,0.034,NYM,0.95,,0.3,23,0.3,0.2731,0.1377,-0.0018983050847457628,,100.0,Above Avg (100-119),0.2025,,52.0,2003,23,,False,Buy low,,,,
663586,Austin Riley,112,0.264,0.453,0.093,0.12,90.416,0.821,0.15,0.4,0.3,0.427,0.267,0.107,0.214,0.5,0.303,0.331,0.028,ATL,1.0,0.3196,0.3196,29,0.3196,0.3214,0.145,0.0017758985200845665,0.3564212139791539,113.1,Above Avg (100-119),0.1992,Platoon-driven (dampened),3560.0,1997,29,Summer performer (amplified),False,Buy low,,,,
630105,Jake Cronenworth,87,0.218,0.375,0.054,0.125,87.32857142857142,0.918,0.1,0.304,0.237,0.554,0.179,0.138,0.207,0.667,0.27,0.327,0.057,SD,1.0,0.2887,0.2887,32,0.28,0.2745,0.145,0.00454945054945055,0.32274128765505017,102.5,Above Avg (100-119),0.1982,Platoon-driven (dampened),3271.0,1994,32,,False,Buy low,,,,
606466,Ketel Marte,95,0.269,0.507,0.113,0.211,92.39014084507042,0.881,0.25,0.514,0.314,0.437,0.225,0.074,0.179,0.412,0.327,0.386,0.059,AZ,1.0,0.323,0.323,33,0.3133,0.314,0.145,0.0007463556851311954,0.37386361095584125,118.7,Above Avg (100-119),0.1879,Anti-platoon luck (amplified),5164.0,1993,33,V-shape seasonal (strong buy) + fader conflict,False,Buy low,,,,
680757,Steven Kwan,107,0.256,0.096,0.012,0.024,81.07710843373494,0.99,0.056,0.337,0.219,0.488,0.214,0.112,0.093,1.2,0.3,0.305,0.005,CLE,1.0,0.3314,0.3314,29,0.3314,0.3294,0.145,-0.0019953379953379954,0.3207852383393132,101.8,Above Avg (100-119),0.1819,Platoon-driven (dampened),2660.0,1997,29,Fader conflict (dampened),False,Buy low,,,,
663886,Tyler Stephenson,64,0.212,0.618,0.147,0.382,95.7,0.818,0.143,0.2,0.167,0.286,0.4,0.141,0.312,0.45,0.259,0.38,0.121,CIN,1.08,0.3053,0.3053,30,0.3053,0.3389,0.1566,0.0012058823529411764,0.31787409024745267,109.0,Above Avg (100-119),0.1815,,2020.0,1996,30,,False,Buy low,,,,
593428,Xander Bogaerts,97,0.278,0.395,0.066,0.132,89.4407894736842,0.889,0.2,0.395,0.243,0.487,0.263,0.113,0.103,1.1,0.379,0.382,0.003,SD,1.0,0.3311,0.3311,34,0.3212,0.3254,0.145,0.004245810055865922,0.3178053571428571,100.9,Above Avg (100-119),0.1801,Anti-platoon luck (amplified),7134.0,1992,34,,False,Buy low,,Confirmed,,
650859,Luis Rengifo,74,0.214,0.393,0.071,0.143,88.05714285714285,0.863,0.0,0.436,0.27,0.491,0.193,0.081,0.135,0.6,0.264,0.268,0.004,MIL,1.0,0.3127,0.3127,29,0.3127,0.3133,0.145,0.0006000000000000001,0.30877286821705424,98.0,Average (95-99),0.1798,Anti-platoon luck (amplified),2550.0,1997,29,,False,Buy low,,,,
693307,Dillon Dingler,82,0.264,0.554,0.196,0.321,92.1375,0.913,0.235,0.368,0.311,0.439,0.298,0.061,0.171,0.357,0.384,0.477,0.093,DET,1.0,0.3122,0.3122,28,0.3122,0.3091,0.145,-0.003094076655052265,0.3409856115107914,108.2,Above Avg (100-119),0.1783,Anti-platoon luck (amplified),610.0,1998,28,,False,Buy low,,Confirmed,,
641355,Cody Bellinger,97,0.279,0.4,0.086,0.129,88.19428571428573,0.85,0.111,0.352,0.224,0.324,0.38,0.155,0.113,1.364,0.364,0.391,0.027,NYY,1.0,0.3162,0.3162,31,0.3162,0.3269,0.145,0.002733893557422969,0.32028354856822006,101.7,Above Avg (100-119),0.1726,Platoon-driven (dampened),4835.0,1995,31,,False,Buy low,,,,
676475,Alec Burleson,98,0.278,0.486,0.108,0.149,91.32297297297296,0.851,0.095,0.432,0.333,0.5,0.284,0.112,0.133,0.846,0.334,0.377,0.043,STL,1.0,0.3181,0.3181,28,0.3181,0.3192,0.145,0.0011296829971181557,0.33833602150537634,107.4,Above Avg (100-119),0.172,Platoon-driven (dampened),1612.0,1998,28,,False,Buy low,,,,
694212,Samuel Basallo,70,0.175,0.476,0.119,0.167,92.1047619047619,0.789,0.231,0.302,0.342,0.395,0.302,0.143,0.243,0.588,0.271,0.348,0.077,BAL,1.0,,0.3,22,0.3,0.2987,0.145,-0.0012913385826771654,0.28400000000000003,90.2,Below Avg (85-94),0.1696,,169.0,2004,22,,False,Buy low,,,,
663728,Cal Raleigh,110,0.234,0.304,0.13,0.145,85.86811594202898,0.778,0.152,0.565,0.359,0.275,0.478,0.1,0.273,0.367,0.296,0.341,0.045,SEA,1.0,0.2794,0.2794,30,0.2794,0.2854,0.145,-0.0020325203252032522,0.35051104100946373,111.3,Above Avg (100-119),0.1683,Platoon-driven (dampened),2539.0,1996,30,,False,Buy low,,,,
694384,Nolan Schanuel,99,0.257,0.316,0.013,0.066,87.375,0.915,0.143,0.447,0.205,0.513,0.184,0.101,0.131,0.769,0.307,0.322,0.015,LAA,1.0,0.3087,0.3087,24,0.3087,0.2963,0.145,-0.0023734015345268544,0.3266968534151957,103.7,Above Avg (100-119),0.1683,,1373.0,2002,24,,False,Buy low,,,,
680574,Matt Mclain,103,0.29,0.279,0.082,0.098,86.96229508196721,0.869,0.0,0.29,0.204,0.355,0.323,0.136,0.243,0.56,0.292,0.313,0.021,CIN,1.08,0.2992,0.2992,27,0.2992,0.324,0.1566,0.0009025641025641025,0.30727142857142853,105.4,Above Avg (100-119),0.1668,,1051.0,1999,27,,False,Buy low,,,,
650402,Gleyber Torres,108,0.286,0.254,0.056,0.099,83.41971830985916,0.839,0.053,0.113,0.164,0.493,0.268,0.157,0.176,0.895,0.308,0.345,0.037,DET,1.0,0.3112,0.3112,30,0.3112,0.3085,0.145,-0.0027317073170731706,0.3464173027989822,110.0,Above Avg (100-119),0.1627,Anti-platoon luck (amplified),4371.0,1996,30,V-shape seasonal (strong buy),False,Buy low,,,,
641487,J. p. Crawford,74,0.244,0.422,0.111,0.156,89.72222222222223,0.927,0.1,0.413,0.195,0.435,0.217,0.176,0.189,0.929,0.307,0.372,0.065,SEA,1.0,0.2977,0.2977,31,0.2977,0.2949,0.145,-0.0028403908794788274,0.32899368904188175,104.4,Above Avg (100-119),0.1472,,3925.0,1995,31,,False,Slight buy,,,,
673237,Yainer Diaz,72,0.217,0.279,0.033,0.049,87.24754098360657,0.907,0.091,0.23,0.414,0.574,0.18,0.028,0.125,0.222,0.237,0.263,0.026,HOU,1.0,0.3292,0.3292,28,0.3292,0.3222,0.145,0.00304602510460251,0.3404510556621881,108.1,Above Avg (100-119),0.1464,Platoon-driven (dampened),1627.0,1998,28,,False,Slight buy,,,,
802139,JJ Wetherholt,105,0.267,0.393,0.033,0.115,87.99016393442622,0.843,0.111,0.548,0.222,0.435,0.29,0.143,0.21,0.682,0.322,0.332,0.01,STL,1.0,,0.3,24,0.3,0.3005,0.145,0.0005011185682326623,,100.0,Above Avg (100-119),0.1406,Anti-platoon luck (amplified),73.0,2002,24,,False,Neutral,,,,
808959,Munetaka Murakami,99,0.263,0.622,0.244,0.267,95.28888888888888,0.734,0.444,0.5,0.192,0.37,0.391,0.182,0.354,0.514,0.374,0.421,0.047,CWS,1.0,,0.3,26,0.3,0.2986,0.145,-0.0013549883990719256,,100.0,Above Avg (100-119),0.1376,,65.0,2000,26,,False,Slight buy,,Confirmed,,
701350,Roman Anthony,92,0.275,0.471,0.118,0.235,92.0921568627451,0.847,0.077,0.346,0.217,0.481,0.25,0.163,0.261,0.625,0.296,0.349,0.053,BOS,1.0,,0.3,22,0.3,0.2971,0.145,-0.0028865979381443303,0.372,118.1,Above Avg (100-119),0.1329,,370.0,2004,22,,False,Slight buy,,,,
668715,Spencer Steer,82,0.271,0.38,0.2,0.2,89.184,0.87,0.182,0.385,0.321,0.365,0.423,0.061,0.28,0.217,0.321,0.366,0.045,CIN,1.08,0.2934,0.2934,29,0.2934,0.3187,0.1566,0.0017894736842105265,0.3164531498147168,108.5,Above Avg (100-119),0.1296,Platoon-driven (dampened),2052.0,1997,29,,False,Slight buy,,,,
681082,Bryson Stott,68,0.231,0.5,0.058,0.135,89.60769230769232,0.935,0.0,0.462,0.331,0.519,0.269,0.059,0.162,0.364,0.221,0.302,0.081,PHI,1.06,0.3061,0.3061,29,0.3061,0.3155,0.1537,0.0009880478087649401,0.3119937888198757,105.0,Above Avg (100-119),0.1285,,2293.0,1997,29,Fader conflict (dampened),False,Slight buy,,,,
687597,Jordan Beck,53,0.179,0.3,0.025,0.05,85.1375,0.833,0.083,0.325,0.405,0.475,0.3,0.057,0.189,0.3,0.226,0.277,0.051,COL,1.18,0.2923,0.2923,25,0.2923,0.3414,0.1711,-0.0035121951219512196,0.292419689119171,109.5,Above Avg (100-119),0.1216,Platoon-driven (dampened),805.0,2001,25,,False,Slight buy,,,,
691016,Tyler Soderstrom,109,0.26,0.467,0.107,0.227,89.76933333333334,0.864,0.091,0.44,0.302,0.427,0.293,0.11,0.202,0.545,0.318,0.333,0.015,ATH,0.96,0.3018,0.3018,25,0.3018,0.2879,0.1392,-0.001771144278606965,0.3337015384615385,101.7,Above Avg (100-119),0.1196,Platoon-driven (dampened),1043.0,2001,25,,False,Slight buy,,,,
666139,Josh Lowe,68,0.179,0.262,0.071,0.048,85.83333333333333,0.82,0.176,0.405,0.354,0.395,0.395,0.074,0.279,0.263,0.251,0.282,0.031,LAA,1.0,0.3003,0.3003,28,0.3003,0.2992,0.145,-0.0010871080139372821,0.31323356009070297,99.4,Average (95-99),0.1194,,1572.0,1998,28,,False,Slight buy,,,,
691406,Junior Caminero,104,0.25,0.436,0.103,0.167,91.25897435897436,0.833,0.333,0.397,0.325,0.41,0.231,0.087,0.163,0.529,0.342,0.373,0.031,TB,0.94,0.3107,0.3107,23,0.3107,0.2895,0.1363,-0.002619289340101523,0.33359468822170896,99.5,Average (95-99),0.118,,933.0,2003,23,,False,Slight buy,,,,
680776,Jarren Duran,78,0.25,0.438,0.146,0.167,89.08333333333333,0.835,0.111,0.408,0.352,0.571,0.184,0.077,0.282,0.273,0.249,0.282,0.033,BOS,1.0,0.3204,0.3204,30,0.3204,0.3075,0.145,-0.0029342560553633217,0.3309313998884551,105.1,Above Avg (100-119),0.1175,,2186.0,1996,30,,False,Slight buy,,,,
671732,Lawrence Butler,87,0.25,0.5,0.056,0.204,88.9074074074074,0.81,0.2,0.352,0.246,0.5,0.185,0.103,0.276,0.375,0.268,0.332,0.064,ATH,0.96,0.2923,0.2923,26,0.2923,0.2803,0.1392,-0.00027272727272727274,0.31672479338842974,96.5,Average (95-99),0.1171,,1265.0,2000,26,,False,Slight buy,,,,
679529,Spencer Torkelson,89,0.261,0.479,0.125,0.208,90.18958333333336,0.826,0.125,0.5,0.169,0.333,0.333,0.157,0.292,0.538,0.296,0.353,0.057,DET,1.0,0.2767,0.2767,27,0.2767,0.2814,0.145,-0.0033333333333333335,0.3289171528588098,104.4,Above Avg (100-119),0.1158,Platoon-driven (dampened),2177.0,1999,27,Summer performer (amplified),False,Slight buy,,,,
605170,Víctor Caratini,76,0.255,0.357,0.054,0.143,88.13571428571429,0.95,0.091,0.429,0.231,0.446,0.196,0.092,0.118,0.778,0.322,0.381,0.059,MIN,1.0,0.2966,0.2966,33,0.2877,0.286,0.145,-0.0017204301075268817,0.32297065462753954,102.5,Above Avg (100-119),0.1145,Anti-platoon luck (amplified),2292.0,1993,33,,False,Slight buy,,,,
683083,Nasim Nuñez,83,0.228,0.211,0.0,0.07,81.69649122807017,0.833,0.0,0.333,0.311,0.508,0.203,0.096,0.193,0.5,0.228,0.258,0.03,WSH,1.0,,0.3,26,0.3,0.2866,0.145,-0.003441860465116279,0.28407058823529413,90.2,Below Avg (85-94),0.1136,Anti-platoon luck (amplified),224.0,2000,26,,False,Slight buy,,,,
663697,Jonathan India,58,0.182,0.314,0.057,0.086,85.66,0.819,0.182,0.4,0.179,0.286,0.314,0.138,0.224,0.615,0.304,0.313,0.009,KC,1.0,0.2932,0.2932,30,0.2932,0.3009,0.145,-0.00033755274261603374,0.3363560300057703,106.8,Above Avg (100-119),0.1094,Anti-platoon luck (amplified),2843.0,1996,30,Fader conflict (dampened),False,Neutral,,,,
