batter,name,PA,BABIP,hard_hit_rate,barrel_rate,sweet_spot_rate,avg_exit_velocity,z_contact_rate,hr_fb_rate,pull_rate,o_swing_rate,gb_rate,fb_rate,bb_rate,k_rate,bb_k_ratio,wOBA,xwOBA,xwOBA_gap,team,park_factor,career_babip,babip_baseline,_age_babip,age_adj_career_babip,park_adj_babip_expected,park_adj_hrfb_expected,oaa_babip_adj,xwoba_3yr,wrc_plus_3yr,quality_tier,luck_score,platoon_modifier,career_pa,birth_year,age,seasonal_pattern,amplification_cap_applied,verdict,this_is_real,tier_sell,age_flag
630105,Jake Cronenworth,82,0.192,0.377,0.057,0.132,87.59811320754717,0.923,0.1,0.302,0.243,0.566,0.189,0.134,0.207,0.647,0.256,0.324,0.068,SD,1.0,0.2887,0.2887,32,0.28,0.2743,0.145,0.004316715542521994,0.32274128765505017,102.5,Above Avg (100-119),0.298,,3271.0,1994,32,,False,Buy low,,,
592450,Aaron Judge,99,0.25,0.526,0.263,0.263,92.08245614035089,0.742,0.529,0.491,0.254,0.421,0.298,0.152,0.253,0.6,0.44,0.483,0.043,NYY,1.0,0.3621,0.3621,34,0.3512,0.3546,0.145,0.003425968109339408,0.4691406844106464,148.9,Superstar (130+),0.2924,Platoon-driven (dampened),5072.0,1992,34,V-shape seasonal (strong buy) + fader conflict,False,Buy low,Confirmed,,
681198,TJ Rumfield,95,0.275,0.389,0.083,0.153,87.23333333333333,0.924,0.143,0.444,0.33,0.375,0.292,0.074,0.168,0.437,0.319,0.343,0.024,COL,1.18,,0.3,26,0.3,0.3505,0.1711,-0.0035480225988700565,,100.0,Above Avg (100-119),0.2913,Platoon-driven (dampened),58.0,2000,26,,False,Buy low,,,
683737,Michael Busch,92,0.197,0.29,0.048,0.048,83.35161290322581,0.86,0.05,0.387,0.287,0.5,0.323,0.109,0.217,0.5,0.235,0.275,0.04,CHC,1.0,0.2997,0.2997,29,0.2997,0.3018,0.145,0.002125373134328358,0.34612258064516127,109.9,Above Avg (100-119),0.2889,,1301.0,1997,29,,False,Buy low,,,
670541,Yordan Álvarez,114,0.306,0.494,0.217,0.277,93.65903614457832,0.941,0.282,0.47,0.256,0.229,0.47,0.158,0.088,1.8,0.518,0.603,0.085,HOU,1.0,0.3499,0.3499,29,0.3499,0.361,0.145,0.003087719298245614,0.4195398496240601,133.2,Superstar (130+),0.2884,Anti-platoon luck (amplified),2943.0,1997,29,Slow starter (amplified),False,Buy low,Confirmed,,
521692,Salvador Pérez,99,0.186,0.397,0.096,0.151,87.93287671232878,0.81,0.158,0.301,0.437,0.411,0.26,0.04,0.212,0.19,0.222,0.304,0.082,KC,1.0,0.3039,0.3039,36,0.2857,0.2871,0.145,0.0014353562005277045,0.3487928457020822,110.7,Above Avg (100-119),0.282,,6969.0,1990,36,,False,Buy low,,,
607208,Trea Turner,102,0.264,0.351,0.041,0.095,88.88783783783784,0.868,0.08,0.284,0.321,0.392,0.338,0.078,0.196,0.4,0.288,0.305,0.017,PHI,1.06,0.3407,0.3407,33,0.3305,0.3504,0.1537,0.0001382716049382716,0.3252739432851792,109.5,Above Avg (100-119),0.2718,Anti-platoon luck (amplified),5678.0,1993,33,Fader conflict (dampened),False,Buy low,,,
694497,Evan Carter,85,0.255,0.449,0.102,0.204,88.95510204081633,0.885,0.125,0.327,0.192,0.333,0.314,0.165,0.235,0.7,0.311,0.363,0.052,TEX,1.05,,0.3,24,0.3,0.3252,0.1522,0.0022146892655367234,0.30636761487964986,102.1,Above Avg (100-119),0.2659,,514.0,2002,24,,False,Buy low,,,
647304,Josh Naylor,100,0.225,0.37,0.055,0.151,86.34657534246575,0.874,0.133,0.493,0.376,0.411,0.205,0.09,0.17,0.529,0.258,0.319,0.061,SEA,1.0,0.3252,0.3252,29,0.3252,0.323,0.145,-0.0021677419354838713,0.3389543879907621,107.6,Above Avg (100-119),0.2657,Platoon-driven (dampened),2933.0,1997,29,Fader conflict (dampened),False,Buy low,,,
701538,Jackson Merrill,97,0.262,0.485,0.132,0.191,88.68529411764706,0.803,0.167,0.441,0.395,0.42,0.261,0.072,0.206,0.35,0.307,0.351,0.044,SD,1.0,0.3302,0.3302,23,0.3302,0.3345,0.145,0.004320855614973263,0.36243122676579925,115.1,Above Avg (100-119),0.2612,Anti-platoon luck (amplified),1143.0,2003,23,,False,Buy low,,,
701398,Sal Stewart,104,0.258,0.486,0.229,0.271,90.8157142857143,0.826,0.308,0.271,0.286,0.414,0.371,0.144,0.183,0.789,0.426,0.46,0.034,CIN,1.08,,0.3,23,0.3,0.3249,0.1566,0.000851063829787234,0.398,136.5,Superstar (130+),0.2552,Platoon-driven (dampened),128.0,2003,23,,False,Buy low,Confirmed,,
805300,Jakob Marsee,114,0.225,0.366,0.028,0.113,86.59014084507042,0.962,0.048,0.458,0.188,0.361,0.292,0.14,0.211,0.667,0.27,0.287,0.017,MIA,0.95,,0.3,25,0.3,0.285,0.1377,3.3542976939203354e-05,0.347,104.7,Above Avg (100-119),0.2538,Anti-platoon luck (amplified),311.0,2001,25,,False,Buy low,,,
663586,Austin Riley,107,0.257,0.452,0.096,0.123,90.45205479452056,0.821,0.158,0.411,0.299,0.438,0.26,0.103,0.206,0.5,0.299,0.339,0.04,ATL,1.0,0.3196,0.3196,29,0.3196,0.3211,0.145,0.0014722838137472285,0.3564212139791539,113.1,Above Avg (100-119),0.2416,Platoon-driven (dampened),3560.0,1997,29,Summer performer (amplified),False,Buy low,,,
701807,Carson Benge,68,0.17,0.383,0.021,0.128,89.79574468085106,0.866,0.0,0.277,0.273,0.553,0.191,0.074,0.235,0.312,0.189,0.239,0.05,NYM,0.95,,0.3,23,0.3,0.2731,0.1377,-0.0019377162629757787,,100.0,Above Avg (100-119),0.2368,,52.0,2003,23,,False,Buy low,,,
702332,Caleb Durbin,80,0.186,0.362,0.017,0.069,86.42068965517241,0.875,0.0,0.39,0.215,0.627,0.102,0.075,0.162,0.462,0.216,0.266,0.05,BOS,1.0,0.306,0.306,26,0.306,0.2931,0.145,-0.002857142857142857,0.31199999999999994,99.0,Average (95-99),0.2354,Anti-platoon luck (amplified),564.0,2000,26,,False,Buy low,,,
666018,Jonathan Aranda,102,0.25,0.424,0.085,0.186,91.37457627118644,0.899,0.143,0.288,0.286,0.322,0.356,0.176,0.235,0.75,0.332,0.376,0.044,TB,0.94,0.3246,0.3246,28,0.3246,0.3104,0.1363,-0.0027093821510297484,0.3620508982035929,108.0,Above Avg (100-119),0.2348,,825.0,1998,28,,False,Buy low,,,
545361,Mike Trout,110,0.228,0.46,0.238,0.254,91.06825396825396,0.909,0.259,0.344,0.186,0.328,0.422,0.2,0.2,1.0,0.407,0.466,0.059,LAA,1.0,0.3057,0.3057,35,0.2874,0.293,0.145,-0.0023966942148760328,0.37466283524904215,118.9,Above Avg (100-119),0.2323,Platoon-driven (dampened),7279.0,1991,35,,False,Buy low,Confirmed,,
691720,Kyle Karros,82,0.255,0.423,0.077,0.115,90.89423076923076,0.902,0.167,0.25,0.233,0.404,0.115,0.183,0.183,1.0,0.308,0.381,0.073,COL,1.18,,0.3,24,0.3,0.3506,0.1711,-0.0034285714285714284,0.258,96.6,Average (95-99),0.2314,Platoon-driven (dampened),207.0,2002,24,,False,Buy low,,,
669224,Austin Wells,67,0.171,0.488,0.073,0.171,90.10243902439024,0.814,0.077,0.476,0.238,0.452,0.31,0.179,0.194,0.923,0.246,0.332,0.086,NYY,1.0,0.2743,0.2743,27,0.2743,0.277,0.145,0.0027471698113207548,0.32165314834578446,102.1,Above Avg (100-119),0.2279,Platoon-driven (dampened),987.0,1999,27,,False,Buy low,,,
678246,Miguel Vargas,93,0.183,0.469,0.109,0.156,88.8703125,0.868,0.182,0.312,0.163,0.344,0.344,0.151,0.14,1.077,0.341,0.39,0.049,CWS,1.0,0.2553,0.2553,27,0.2553,0.2624,0.145,-0.0009272237196765499,0.30363603603603606,96.4,Average (95-99),0.2232,Platoon-driven (dampened),1222.0,1999,27,,False,Buy low,,,
678662,Ezequiel Tovar,93,0.3,0.443,0.098,0.23,89.52295081967212,0.838,0.053,0.328,0.47,0.328,0.311,0.032,0.29,0.111,0.273,0.313,0.04,COL,1.18,0.3095,0.3095,25,0.3095,0.3698,0.1711,-0.0033782991202346044,0.29706176470588236,111.3,Above Avg (100-119),0.2196,,1799.0,2001,25,Slow starter (amplified),False,Buy low,,,
807712,Luke Keaschall,97,0.237,0.263,0.039,0.105,84.90526315789474,0.945,0.045,0.299,0.227,0.416,0.286,0.062,0.144,0.429,0.26,0.291,0.031,MIN,1.0,,0.3,24,0.3,0.2993,0.145,-0.0006504065040650406,0.324,102.9,Above Avg (100-119),0.219,Platoon-driven (dampened),279.0,2002,24,,False,Buy low,,,
547180,Bryce Harper,96,0.277,0.414,0.143,0.214,88.83571428571429,0.851,0.227,0.357,0.383,0.414,0.314,0.125,0.146,0.857,0.395,0.435,0.04,PHI,1.06,0.3307,0.3307,34,0.3208,0.3403,0.1537,0.00025214899713467046,0.37418725099601596,125.9,Elite (120-129),0.2025,,7734.0,1992,34,Slow starter (amplified) + fader conflict,False,Buy low,Confirmed,,
606466,Ketel Marte,91,0.254,0.507,0.119,0.224,92.45522388059702,0.877,0.267,0.53,0.311,0.433,0.224,0.077,0.187,0.412,0.321,0.387,0.066,AZ,1.0,0.323,0.323,33,0.3133,0.3138,0.145,0.0005060240963855422,0.37386361095584125,118.7,Above Avg (100-119),0.2021,Anti-platoon luck (amplified),5164.0,1993,33,V-shape seasonal (strong buy) + fader conflict,False,Buy low,,,
656941,Kyle Schwarber,102,0.244,0.542,0.208,0.271,93.01458333333332,0.774,0.368,0.511,0.222,0.292,0.396,0.147,0.343,0.429,0.37,0.426,0.056,PHI,1.06,0.2762,0.2762,33,0.2679,0.293,0.1537,0.0009951219512195123,0.38271348314606735,128.8,Elite (120-129),0.1998,Platoon-driven (dampened),5456.0,1993,33,V-shape seasonal (strong buy),False,Buy low,Confirmed,,
593428,Xander Bogaerts,92,0.271,0.384,0.055,0.123,89.07671232876713,0.885,0.167,0.397,0.258,0.493,0.247,0.098,0.109,0.9,0.353,0.364,0.011,SD,1.0,0.3311,0.3311,34,0.3212,0.3252,0.145,0.004047058823529412,0.3178053571428571,100.9,Above Avg (100-119),0.1899,Anti-platoon luck (amplified),7134.0,1992,34,,False,Buy low,,,
542303,Marcell Ozuna,79,0.235,0.404,0.096,0.192,88.15961538461539,0.878,0.133,0.321,0.26,0.283,0.283,0.076,0.241,0.316,0.27,0.323,0.053,PIT,1.0,0.3115,0.3115,36,0.2928,0.3022,0.145,0.001368731563421829,0.3853418803418803,122.3,Elite (120-129),0.1866,Platoon-driven (dampened),6763.0,1990,36,,False,Buy low,,,
641355,Cody Bellinger,95,0.273,0.412,0.088,0.132,88.18088235294118,0.848,0.115,0.362,0.229,0.333,0.377,0.158,0.116,1.364,0.363,0.388,0.025,NYY,1.0,0.3162,0.3162,31,0.3162,0.327,0.145,0.0028045977011494252,0.32028354856822006,101.7,Above Avg (100-119),0.1823,Platoon-driven (dampened),4835.0,1995,31,,False,Buy low,,,
680757,Steven Kwan,107,0.256,0.096,0.012,0.024,81.07710843373494,0.99,0.056,0.337,0.219,0.488,0.214,0.112,0.093,1.2,0.3,0.305,0.005,CLE,1.0,0.3314,0.3314,29,0.3314,0.3294,0.145,-0.0019953379953379954,0.3207852383393132,101.8,Above Avg (100-119),0.1819,Platoon-driven (dampened),2660.0,1997,29,Fader conflict (dampened),False,Buy low,,,
663886,Tyler Stephenson,64,0.212,0.618,0.147,0.382,95.7,0.818,0.143,0.2,0.167,0.286,0.4,0.141,0.312,0.45,0.259,0.38,0.121,CIN,1.08,0.3053,0.3053,30,0.3053,0.3389,0.1566,0.0012058823529411764,0.31787409024745267,109.0,Above Avg (100-119),0.1815,,2020.0,1996,30,,False,Buy low,,,
695657,Colson Montgomery,89,0.233,0.367,0.143,0.163,88.38571428571427,0.766,0.353,0.531,0.264,0.367,0.347,0.101,0.303,0.333,0.347,0.361,0.014,CWS,1.0,,0.3,24,0.3,0.2996,0.145,-0.00038095238095238096,0.341,108.3,Above Avg (100-119),0.1783,Anti-platoon luck (amplified),347.0,2002,24,,False,Buy low,,,
693307,Dillon Dingler,78,0.26,0.547,0.208,0.321,91.68301886792452,0.921,0.235,0.389,0.308,0.426,0.315,0.064,0.167,0.385,0.392,0.483,0.091,DET,1.0,0.3122,0.3122,28,0.3122,0.3093,0.145,-0.0028613138686131388,0.3409856115107914,108.2,Above Avg (100-119),0.1749,,610.0,1998,28,,False,Buy low,Confirmed,,
660271,Shohei Ohtani,106,0.298,0.484,0.21,0.194,93.47096774193548,0.864,0.217,0.565,0.333,0.435,0.371,0.142,0.245,0.577,0.374,0.404,0.03,LAD,1.0,0.3423,0.3423,32,0.332,0.3331,0.145,0.0010900243309002434,0.43262566844919786,137.3,Superstar (130+),0.1743,Anti-platoon luck (amplified),4407.0,1994,32,Slow starter (amplified),False,Buy low,Confirmed,,
676475,Alec Burleson,98,0.278,0.486,0.108,0.149,91.32297297297296,0.851,0.095,0.432,0.333,0.5,0.284,0.112,0.133,0.846,0.334,0.377,0.043,STL,1.0,0.3181,0.3181,28,0.3181,0.3192,0.145,0.0011296829971181557,0.33833602150537634,107.4,Above Avg (100-119),0.172,Platoon-driven (dampened),1612.0,1998,28,,False,Buy low,,,
694212,Samuel Basallo,70,0.175,0.476,0.119,0.167,92.1047619047619,0.789,0.231,0.302,0.342,0.395,0.302,0.143,0.243,0.588,0.271,0.348,0.077,BAL,1.0,,0.3,22,0.3,0.2987,0.145,-0.0012913385826771654,0.28400000000000003,90.2,Below Avg (85-94),0.1696,,169.0,2004,22,,False,Buy low,,,
663728,Cal Raleigh,110,0.234,0.304,0.13,0.145,85.86811594202898,0.778,0.152,0.565,0.359,0.275,0.478,0.1,0.273,0.367,0.296,0.341,0.045,SEA,1.0,0.2794,0.2794,30,0.2794,0.2854,0.145,-0.0020325203252032522,0.35051104100946373,111.3,Above Avg (100-119),0.1683,Platoon-driven (dampened),2539.0,1996,30,,False,Buy low,,,
694384,Nolan Schanuel,99,0.257,0.316,0.013,0.066,87.375,0.915,0.143,0.447,0.205,0.513,0.184,0.101,0.131,0.769,0.307,0.322,0.015,LAA,1.0,0.3087,0.3087,24,0.3087,0.2963,0.145,-0.0023734015345268544,0.3266968534151957,103.7,Above Avg (100-119),0.1683,,1373.0,2002,24,,False,Buy low,,,
680574,Matt Mclain,103,0.29,0.279,0.082,0.098,86.96229508196721,0.869,0.0,0.29,0.204,0.355,0.323,0.136,0.243,0.56,0.292,0.313,0.021,CIN,1.08,0.2992,0.2992,27,0.2992,0.324,0.1566,0.0009025641025641025,0.30727142857142853,105.4,Above Avg (100-119),0.1668,,1051.0,1999,27,,False,Buy low,,,
669701,Josh Smith,77,0.245,0.377,0.075,0.189,86.34905660377359,0.862,0.0,0.377,0.331,0.358,0.321,0.117,0.182,0.643,0.248,0.31,0.062,TEX,1.05,0.287,0.287,29,0.287,0.3038,0.1522,0.0024105960264900663,0.31174765681326605,103.9,Above Avg (100-119),0.1661,,1695.0,1997,29,Fader conflict (dampened),False,Buy low,,,
666139,Josh Lowe,68,0.179,0.262,0.071,0.048,85.83333333333333,0.82,0.176,0.405,0.354,0.395,0.395,0.074,0.279,0.263,0.251,0.282,0.031,LAA,1.0,0.3003,0.3003,28,0.3003,0.2992,0.145,-0.0010871080139372821,0.31323356009070297,99.4,Average (95-99),0.1491,,1572.0,1998,28,,False,Slight buy,,,
641487,J. p. Crawford,74,0.244,0.422,0.111,0.156,89.72222222222223,0.927,0.1,0.413,0.195,0.435,0.217,0.176,0.189,0.929,0.307,0.372,0.065,SEA,1.0,0.2977,0.2977,31,0.2977,0.2949,0.145,-0.0028403908794788274,0.32899368904188175,104.4,Above Avg (100-119),0.1472,,3925.0,1995,31,,False,Slight buy,,,
808959,Munetaka Murakami,94,0.25,0.651,0.256,0.279,95.68372093023255,0.742,0.471,0.477,0.184,0.386,0.386,0.191,0.34,0.562,0.384,0.433,0.049,CWS,1.0,,0.3,26,0.3,0.2986,0.145,-0.0014278728606356968,,100.0,Above Avg (100-119),0.1471,Platoon-driven (dampened),65.0,2000,26,,False,Slight buy,Confirmed,,
673237,Yainer Diaz,72,0.217,0.279,0.033,0.049,87.24754098360657,0.907,0.091,0.23,0.414,0.574,0.18,0.028,0.125,0.222,0.237,0.263,0.026,HOU,1.0,0.3292,0.3292,28,0.3292,0.3222,0.145,0.00304602510460251,0.3404510556621881,108.1,Above Avg (100-119),0.1464,Platoon-driven (dampened),1627.0,1998,28,,False,Slight buy,,,
650859,Luis Rengifo,70,0.226,0.377,0.075,0.151,87.72830188679247,0.857,0.0,0.442,0.266,0.491,0.17,0.086,0.143,0.6,0.276,0.278,0.002,MIL,1.0,0.3127,0.3127,29,0.3127,0.3133,0.145,0.0006315789473684211,0.30877286821705424,98.0,Average (95-99),0.1443,Anti-platoon luck (amplified),2550.0,1997,29,,False,Neutral,,,
663656,Kyle Tucker,98,0.283,0.365,0.079,0.159,87.2031746031746,0.85,0.136,0.429,0.261,0.397,0.349,0.112,0.245,0.458,0.309,0.31,0.001,LAD,1.0,0.3223,0.3223,29,0.3223,0.3224,0.145,8.398950131233596e-05,0.38417763975155284,122.0,Elite (120-129),0.1431,Anti-platoon luck (amplified),3229.0,1997,29,,False,Neutral,,,
681082,Bryson Stott,65,0.22,0.5,0.06,0.12,89.31,0.95,0.0,0.46,0.317,0.52,0.28,0.062,0.154,0.4,0.217,0.301,0.084,PHI,1.06,0.3061,0.3061,29,0.3061,0.3158,0.1537,0.0012839506172839506,0.3119937888198757,105.0,Above Avg (100-119),0.1413,,2293.0,1997,29,Fader conflict (dampened),False,Slight buy,,,
802139,JJ Wetherholt,105,0.267,0.393,0.033,0.115,87.99016393442622,0.843,0.111,0.548,0.222,0.435,0.29,0.143,0.21,0.682,0.322,0.332,0.01,STL,1.0,,0.3,24,0.3,0.3005,0.145,0.0005011185682326623,,100.0,Above Avg (100-119),0.1406,Anti-platoon luck (amplified),73.0,2002,24,,False,Neutral,,,
680776,Jarren Duran,74,0.244,0.422,0.156,0.178,88.67555555555556,0.829,0.111,0.413,0.34,0.543,0.196,0.081,0.284,0.286,0.251,0.286,0.035,BOS,1.0,0.3204,0.3204,30,0.3204,0.3074,0.145,-0.003039426523297491,0.3309313998884551,105.1,Above Avg (100-119),0.1346,,2186.0,1996,30,,False,Slight buy,,,
701350,Roman Anthony,92,0.275,0.471,0.118,0.235,92.0921568627451,0.847,0.077,0.346,0.217,0.481,0.25,0.163,0.261,0.625,0.296,0.349,0.053,BOS,1.0,,0.3,22,0.3,0.2971,0.145,-0.0028865979381443303,0.372,118.1,Above Avg (100-119),0.1329,,370.0,2004,22,,False,Slight buy,,,
668715,Spencer Steer,82,0.271,0.38,0.2,0.2,89.184,0.87,0.182,0.385,0.321,0.365,0.423,0.061,0.28,0.217,0.321,0.366,0.045,CIN,1.08,0.2934,0.2934,29,0.2934,0.3187,0.1566,0.0017894736842105265,0.3164531498147168,108.5,Above Avg (100-119),0.1296,Platoon-driven (dampened),2052.0,1997,29,,False,Slight buy,,,
687597,Jordan Beck,53,0.179,0.3,0.025,0.05,85.1375,0.833,0.083,0.325,0.405,0.475,0.3,0.057,0.189,0.3,0.226,0.277,0.051,COL,1.18,0.2923,0.2923,25,0.2923,0.3414,0.1711,-0.0035121951219512196,0.292419689119171,109.5,Above Avg (100-119),0.1216,Platoon-driven (dampened),805.0,2001,25,,False,Slight buy,,,
691016,Tyler Soderstrom,109,0.26,0.467,0.107,0.227,89.76933333333334,0.864,0.091,0.44,0.302,0.427,0.293,0.11,0.202,0.545,0.318,0.333,0.015,ATH,0.96,0.3018,0.3018,25,0.3018,0.2879,0.1392,-0.001771144278606965,0.3337015384615385,101.7,Above Avg (100-119),0.1196,Platoon-driven (dampened),1043.0,2001,25,,False,Slight buy,,,
666182,Bo Bichette,101,0.284,0.427,0.027,0.08,90.52133333333336,0.916,0.091,0.187,0.417,0.547,0.147,0.05,0.208,0.238,0.255,0.33,0.075,NYM,0.95,0.3409,0.3409,28,0.3409,0.3128,0.1377,-0.0010610079575596818,0.3434172523961661,103.6,Above Avg (100-119),0.118,Platoon-driven (dampened),3369.0,1998,28,,False,Slight buy,,,
691406,Junior Caminero,104,0.25,0.436,0.103,0.167,91.25897435897436,0.833,0.333,0.397,0.325,0.41,0.231,0.087,0.163,0.529,0.342,0.373,0.031,TB,0.94,0.3107,0.3107,23,0.3107,0.2895,0.1363,-0.002619289340101523,0.33359468822170896,99.5,Average (95-99),0.118,,933.0,2003,23,,False,Slight buy,,,
671732,Lawrence Butler,87,0.25,0.5,0.056,0.204,88.9074074074074,0.81,0.2,0.352,0.246,0.5,0.185,0.103,0.276,0.375,0.268,0.332,0.064,ATH,0.96,0.2923,0.2923,26,0.2923,0.2803,0.1392,-0.00027272727272727274,0.31672479338842974,96.5,Average (95-99),0.1171,,1265.0,2000,26,,False,Slight buy,,,
605170,Víctor Caratini,76,0.255,0.357,0.054,0.143,88.13571428571429,0.95,0.091,0.429,0.231,0.446,0.196,0.092,0.118,0.778,0.322,0.381,0.059,MIN,1.0,0.2966,0.2966,33,0.2877,0.286,0.145,-0.0017204301075268817,0.32297065462753954,102.5,Above Avg (100-119),0.1145,Anti-platoon luck (amplified),2292.0,1993,33,,False,Slight buy,,,
663697,Jonathan India,58,0.182,0.314,0.057,0.086,85.66,0.819,0.182,0.4,0.179,0.286,0.314,0.138,0.224,0.615,0.304,0.313,0.009,KC,1.0,0.2932,0.2932,30,0.2932,0.3009,0.145,-0.00033755274261603374,0.3363560300057703,106.8,Above Avg (100-119),0.1094,Anti-platoon luck (amplified),2843.0,1996,30,Fader conflict (dampened),False,Neutral,,,
681351,Logan O'hoppe,82,0.25,0.388,0.102,0.122,86.9938775510204,0.848,0.067,0.469,0.323,0.388,0.306,0.122,0.244,0.5,0.271,0.295,0.024,LAA,1.0,0.2807,0.2807,26,0.2807,0.2792,0.145,-0.0015,0.32306313993174063,102.6,Above Avg (100-119),0.1072,Platoon-driven (dampened),1245.0,2000,26,,False,Slight buy,,,
