name,mlbam_id,luck_signal,luck_score,prior_xwoba,prior_pa,recent_xwoba,recent_pa,trend_delta,trend_dir,combined,xwoba_april,ros_woba,audit_correct,woba_change
Alex Bregman,608324,Sell High,-0.0699,0.3556,80,0.3576,90,0.0020,Neutral,Sell (Neutral trend),0.3559,,True,-0.0554
Corey Seager,608369,Slight Buy,0.0306,0.4807,61,0.4227,23,-0.0581,Cold,Conflicted Buy,0.3997,0.3742,True,0.0230
Dansby Swanson,621020,Slight Buy,0.0304,0.2892,74,0.4194,77,0.1302,Hot,Strong Buy,0.3112,0.3286,True,0.0388
Carlos Correa,621043,Slight Buy,0.0358,0.2840,68,0.3201,63,0.0362,Hot,Strong Buy,0.2800,0.3398,True,0.0755
Taylor Ward,621493,Buy Low,0.0473,0.3050,76,0.3104,75,0.0053,Neutral,Buy (Neutral trend),0.2985,0.3654,True,0.0855
Matt Olson,621566,Buy Low,0.0536,0.3819,73,0.3139,92,-0.0680,Cold,Conflicted Buy,0.3981,0.3626,True,0.0157
Michael Conforto,624424,Slight Buy,0.0393,0.2998,64,0.2973,72,-0.0025,Neutral,Buy (Neutral trend),0.3097,0.3086,True,0.0473
Cody Bellinger,641355,Slight Buy,0.0281,0.2544,66,0.3738,80,0.1194,Hot,Strong Buy,0.2864,0.3942,True,0.1099
Willy Adames,642715,Slight Buy,0.0204,0.2879,88,0.3343,84,0.0464,Hot,Strong Buy,0.2972,0.3525,True,0.0762
Rafael Devers,646240,Slight Buy,0.0314,0.4339,84,0.4396,93,0.0057,Neutral,Buy (Neutral trend),0.3955,0.3689,True,0.0199
Gleyber Torres,650402,Buy Low,0.0413,0.3429,49,0.3936,89,0.0507,Hot,Strong Buy,0.3617,0.3695,True,0.0424
Zach Mckinstry,656716,Sell High,-0.0956,0.3647,61,0.2718,77,-0.0929,Cold,Strong Sell,0.3370,0.3385,True,-0.0459
Cedric Mullins,656775,Slight Sell,-0.0486,0.3558,63,0.2169,76,-0.1389,Cold,Strong Sell,0.3511,0.2767,True,-0.1346
Pavin Smith,656976,Sell High,-0.1470,0.4342,58,0.2678,61,-0.1664,Cold,Strong Sell,0.3860,0.3006,True,-0.1780
Ryan Mountcastle,663624,Slight Buy,0.0278,0.3395,53,0.3105,77,-0.0289,Cold,Conflicted Buy,0.2877,,True,0.0535
Jonathan India,663697,Buy Low,0.0477,0.3066,70,0.3417,86,0.0351,Hot,Strong Buy,0.3338,0.3101,True,0.0313
Joey Bart,663698,Sell High,-0.0937,0.3555,46,0.3639,72,0.0084,Neutral,Sell (Neutral trend),0.3176,,True,-0.1067
Trent Grisham,663757,Slight Sell,-0.0455,0.3409,44,0.4244,73,0.0835,Hot,Conflicted Sell,0.3936,0.3568,True,-0.0895
Ty France,664034,Slight Buy,0.0244,0.3318,74,0.3573,77,0.0255,Hot,Strong Buy,0.3846,0.2975,False,-0.0472
Brandon Lowe,664040,Buy Low,0.0451,0.2554,66,0.3675,75,0.1122,Hot,Strong Buy,0.3368,0.3972,True,0.1323
Alec Bohm,664761,Buy Low,0.0443,0.2677,75,0.3764,67,0.1087,Hot,Strong Buy,0.2992,0.3606,True,0.1245
Fernando Tatís,665487,Slight Sell,-0.0419,0.4262,75,0.3513,78,-0.0749,Cold,Strong Sell,0.4350,0.3376,True,-0.1194
Vladimir Guerrero,665489,Slight Buy,0.0343,0.3979,79,0.3726,84,-0.0253,Cold,Conflicted Buy,0.3871,0.4020,True,0.0497
Gavin Lux,666158,Sell High,-0.0761,0.3428,66,0.3090,73,-0.0338,Cold,Strong Sell,0.3425,0.3050,True,-0.0739
Mickey Moniak,666160,Buy Low,0.0530,0.3453,59,0.2687,61,-0.0766,Cold,Conflicted Buy,0.3385,0.3810,True,0.0810
Jo Adell,666176,Buy Low,0.0465,0.3431,58,0.2988,48,-0.0443,Cold,Conflicted Buy,0.3052,0.3693,True,0.1277
Bo Bichette,666182,Slight Buy,0.0240,0.3723,85,0.3378,85,-0.0345,Cold,Conflicted Buy,0.3597,0.3579,True,0.0474
Spencer Steer,668715,Slight Buy,0.0365,0.3016,57,0.2691,88,-0.0324,Cold,Conflicted Buy,0.2776,0.3342,True,0.0793
Brice Turang,668930,Slight Sell,-0.0618,0.3542,85,0.3246,64,-0.0296,Cold,Strong Sell,0.3478,0.3039,True,-0.0722
Kyle Stowers,669065,Slight Sell,-0.0629,0.2815,67,0.4737,73,0.1922,Hot,Conflicted Sell,0.3712,0.4071,False,0.0152
Will Smith,669257,Slight Sell,-0.0540,0.2913,47,0.4216,64,0.1304,Hot,Conflicted Sell,0.3428,0.4188,False,0.0400
Jake Burger,669394,Buy Low,0.0435,0.2960,55,0.3154,46,0.0194,Neutral,Buy (Neutral trend),0.2859,0.3218,True,0.0817
Taylor Walls,670764,Slight Buy,0.0207,0.2338,50,0.2870,54,0.0532,Hot,Strong Buy,0.2483,0.3039,True,0.0792
Gabriel Arias,672356,Slight Sell,-0.0514,0.3054,56,0.2772,77,-0.0282,Cold,Strong Sell,0.3058,0.2873,True,-0.0460
Alejandro Kirk,672386,Buy Low,0.0400,0.2667,56,0.4393,58,0.1726,Hot,Strong Buy,0.2948,0.3719,True,0.1037
Gabriel Moreno,672515,Buy Low,0.0448,0.3252,49,0.3216,57,-0.0036,Neutral,Buy (Neutral trend),0.3200,,True,0.1012
Otto Lopez,672640,Buy Low,0.0433,0.3102,63,0.3250,20,0.0148,Neutral,Buy (Neutral trend),0.3456,0.3544,True,0.0607
Yainer Diaz,673237,Buy Low,0.0450,0.2538,59,0.3639,80,0.1101,Hot,Strong Buy,0.2661,0.3344,True,0.0907
Seiya Suzuki,673548,Slight Sell,-0.0528,0.3937,55,0.2998,84,-0.0940,Cold,Strong Sell,0.3825,0.3387,True,-0.0872
Josh Jung,673962,Slight Sell,-0.0578,0.2713,60,0.3675,78,0.0962,Hot,Conflicted Sell,0.2968,0.2949,True,-0.0534
Eric Wagaman,676572,Buy Low,0.0410,0.4027,62,0.2406,75,-0.1622,Cold,Conflicted Buy,0.3644,0.2697,False,-0.0457
Brayan Rocchio,677587,Slight Buy,0.0392,0.3177,50,0.1811,30,-0.1366,Cold,Conflicted Buy,0.3068,,True,0.0340
Ceddanne Rafaela,678882,Buy Low,0.0502,0.3032,54,0.3951,75,0.0918,Hot,Strong Buy,0.3317,0.3406,True,0.0637
Matt Mclain,680574,Buy Low,0.0531,0.3213,46,0.3039,87,-0.0174,Neutral,Buy (Neutral trend),0.3233,0.3011,True,0.0176
Bryson Stott,681082,Sell High,-0.0678,0.3030,75,0.3333,75,0.0304,Hot,Conflicted Sell,0.2994,0.2668,True,-0.0906
Logan O'Hoppe,681351,Slight Sell,-0.0523,0.3047,56,0.2962,65,-0.0086,Neutral,Sell (Neutral trend),0.3246,0.2943,True,-0.0761
Andy Pages,681624,Slight Sell,-0.0504,0.2805,51,0.3700,89,0.0895,Hot,Conflicted Sell,0.3065,0.3318,True,-0.0507
Elly De La Cruz,682829,Slight Sell,-0.0411,0.3114,81,0.2695,90,-0.0420,Cold,Strong Sell,0.3319,0.3790,False,0.0316
Andrew Vaughn,683734,Buy Low,0.0914,0.3189,76,0.2915,81,-0.0275,Cold,Conflicted Buy,0.3088,,True,0.1484
Michael Busch,683737,Slight Sell,-0.0584,0.3458,68,0.3565,67,0.0108,Neutral,Sell (Neutral trend),0.3474,0.3841,True,-0.0239
Sal Frelick,686217,Slight Sell,-0.0507,0.3245,77,0.2619,56,-0.0626,Cold,Strong Sell,0.3127,0.3302,True,-0.0358
Vinnie Pasquantino,686469,Buy Low,0.0655,0.2645,83,0.3774,85,0.1128,Hot,Strong Buy,0.2773,0.3773,True,0.1257
Victor Scott,687363,Sell High,-0.0765,0.2605,63,0.2895,65,0.0290,Hot,Conflicted Sell,0.2780,0.2736,True,-0.0676
Colt Keith,690993,Buy Low,0.0494,0.2833,48,0.4288,56,0.1456,Hot,Strong Buy,0.3358,0.3478,True,0.0568
Jung Hoo Lee,808982,Slight Sell,-0.0512,0.3680,85,0.2752,79,-0.0927,Cold,Strong Sell,0.3443,0.2870,True,-0.1142
