player_name,mlbam_id,year,signal,luck_score,woba_actual,xwoba_actual,predicted_direction,actual_woba_change,correct
Amed Rosario,642708,2022,Buy Low,0.0433,0.2494,0.2957,IMPROVED,0.0982,True
Willy Adames,642715,2022,Slight Buy,0.0272,0.3468,0.3914,IMPROVED,-0.0202,False
Ozzie Albies,645277,2022,Slight Buy,0.0389,0.3327,0.3458,IMPROVED,-0.0402,False
Cedric Mullins,656775,2022,Slight Buy,0.0292,0.2995,0.3218,IMPROVED,0.0223,True
Kyle Schwarber,656941,2022,Buy Low,0.0418,0.3076,0.3165,IMPROVED,0.0453,True
Alex Verdugo,657077,2022,Buy Low,0.0613,0.2844,0.3408,IMPROVED,0.0319,True
Ryan Mountcastle,663624,2022,Buy Low,0.0551,0.2719,0.3683,IMPROVED,0.0563,True
Ke'Bryan Hayes,663647,2022,Sell High,-0.0751,0.3877,0.3581,DECLINED,-0.0986,True
Kyle Tucker,663656,2022,Buy Low,0.0879,0.3145,0.4127,IMPROVED,0.0344,True
Trent Grisham,663757,2022,Slight Buy,0.0381,0.2465,0.2867,IMPROVED,0.0485,True
Myles Straw,664702,2022,Sell High,-0.0871,0.3565,0.2774,DECLINED,-0.1035,True
Jeremy Peña,665161,2022,Slight Buy,0.0229,0.3645,0.3634,IMPROVED,-0.0295,False
Juan Soto,665742,2022,Buy Low,0.0421,0.3725,0.4119,IMPROVED,0.0219,True
Bo Bichette,666182,2022,Buy Low,0.0516,0.2464,0.3087,IMPROVED,0.0989,True
Adolis García,666969,2022,Slight Buy,0.0325,0.2977,0.3175,IMPROVED,0.0394,True
Randy Arozarena,668227,2022,Slight Sell,-0.0478,0.2716,0.1999,DECLINED,0.074,False
Bryan Reynolds,668804,2022,Slight Buy,0.0283,0.2963,0.3164,IMPROVED,0.0703,True
Austin Hays,669720,2022,Slight Sell,-0.0546,0.3912,0.3331,DECLINED,-0.0599,True
Seiya Suzuki,673548,2022,Slight Sell,-0.0645,0.4161,0.3527,DECLINED,-0.0975,True
Carlos Santana,467793,2023,Slight Sell,-0.0499,0.354,0.3335,DECLINED,-0.0355,True
Jean Segura,516416,2023,Buy Low,0.0504,0.2095,0.2799,IMPROVED,0.0687,True
Freddie Freeman,518692,2023,Slight Buy,0.0254,0.3664,0.3994,IMPROVED,0.0786,True
Yasmani Grandal,518735,2023,Slight Sell,-0.0436,0.3441,0.2875,DECLINED,-0.0375,True
Jon Berti,542932,2023,Slight Buy,0.0366,0.2871,0.3272,IMPROVED,0.0489,True
Robbie Grossman,543257,2023,Slight Sell,-0.044,0.3374,0.2969,DECLINED,-0.0464,True
Marcus Semien,543760,2023,Slight Sell,-0.0463,0.3705,0.3046,DECLINED,-0.0173,True
George Springer,543807,2023,Buy Low,0.049,0.2779,0.325,IMPROVED,0.0622,True
Mike Trout,545361,2023,Slight Sell,-0.047,0.4246,0.4026,DECLINED,-0.0712,True
Elías Díaz,553869,2023,Sell High,-0.0804,0.3815,0.3252,DECLINED,-0.0626,True
Max Muncy,571970,2023,Slight Buy,0.0235,0.4374,0.4281,IMPROVED,-0.1084,False
Michael Taylor,572191,2023,Slight Sell,-0.0596,0.3188,0.2809,DECLINED,-0.0284,True
Mike Yastrzemski,573262,2023,Sell High,-0.073,0.375,0.3195,DECLINED,-0.0745,True
Kris Bryant,592178,2023,Slight Sell,-0.0515,0.3649,0.3227,DECLINED,-0.0499,True
Nick Castellanos,592206,2023,Sell High,-0.0686,0.3951,0.3548,DECLINED,-0.075,True
Hunter Renfroe,592669,2023,Slight Sell,-0.0452,0.3663,0.298,DECLINED,-0.0347,True
Jurickson Profar,595777,2023,Slight Buy,0.0211,0.2914,0.3151,IMPROVED,0.0303,True
Ramón Urías,602104,2023,Sell High,-0.0669,0.3738,0.3175,DECLINED,-0.0746,True
J. D. Davis,605204,2023,Slight Sell,-0.0558,0.3745,0.3301,DECLINED,-0.0481,True
Teoscar Hernández,606192,2023,Buy Low,0.0496,0.2936,0.3401,IMPROVED,0.0183,True
José Ramírez,608070,2023,Slight Buy,0.0248,0.358,0.3712,IMPROVED,0.0166,True
Carlos Correa,621043,2023,Buy Low,0.0432,0.2816,0.2915,IMPROVED,0.0394,True
Taylor Ward,621493,2023,Slight Buy,0.0292,0.3032,0.3252,IMPROVED,0.0512,True
Jorge Mateo,622761,2023,Sell High,-0.0718,0.4411,0.3907,DECLINED,-0.2439,True
Harold Ramírez,623912,2023,Slight Sell,-0.0486,0.4296,0.3608,DECLINED,-0.1088,True
Pete Alonso,624413,2023,Slight Buy,0.0304,0.3845,0.4006,IMPROVED,-0.0433,False
Adam Frazier,624428,2023,Slight Buy,0.0232,0.3049,0.3084,IMPROVED,0.0291,True
Jorge Soler,624585,2023,Buy Low,0.05,0.3299,0.3683,IMPROVED,0.0354,True
Cody Bellinger,641355,2023,Slight Sell,-0.0427,0.4338,0.3516,DECLINED,-0.0575,True
Amed Rosario,642708,2023,Slight Buy,0.0273,0.2582,0.303,IMPROVED,0.0752,True
Thairo Estrada,642731,2023,Sell High,-0.0967,0.4165,0.3356,DECLINED,-0.1069,True
Mauricio Dubón,643289,2023,Slight Sell,-0.0453,0.3495,0.3232,DECLINED,-0.0593,True
Tony Kemp,643393,2023,Buy Low,0.0746,0.2232,0.2914,IMPROVED,0.0819,True
Josh Naylor,647304,2023,Buy Low,0.0847,0.2656,0.3676,IMPROVED,0.1305,True
Aledmys Díaz,649557,2023,Buy Low,0.0731,0.2247,0.2808,IMPROVED,0.0492,True
Luis Arráez,650333,2023,Sell High,-0.0835,0.4525,0.3887,DECLINED,-0.0709,True
Gleyber Torres,650402,2023,Buy Low,0.0491,0.346,0.3736,IMPROVED,-0.0252,False
Luis Rengifo,650859,2023,Slight Buy,0.0399,0.2946,0.3316,IMPROVED,0.0436,True
Matt Chapman,656305,2023,Sell High,-0.0937,0.4838,0.4807,DECLINED,-0.1668,True
Connor Joe,656582,2023,Slight Sell,-0.0528,0.4091,0.372,DECLINED,-0.1111,True
Lane Thomas,657041,2023,Sell High,-0.0794,0.3056,0.2536,DECLINED,0.072,False
Ryan Mountcastle,663624,2023,Buy Low,0.078,0.3008,0.39,IMPROVED,0.0278,True
Ke'Bryan Hayes,663647,2023,Buy Low,0.0476,0.2924,0.352,IMPROVED,0.0171,True
Vladimir Guerrero,665489,2023,Slight Buy,0.0397,0.3862,0.4321,IMPROVED,-0.0499,False
Juan Soto,665742,2023,Buy Low,0.0477,0.3377,0.3832,IMPROVED,0.092,True
Josh Lowe,666139,2023,Sell High,-0.072,0.4367,0.3731,DECLINED,-0.122,True
Rodolfo Castro,666801,2023,Slight Sell,-0.0628,0.3788,0.3446,DECLINED,-0.1134,True
Randy Arozarena,668227,2023,Slight Sell,-0.0443,0.4176,0.4064,DECLINED,-0.088,True
Josh Rojas,668942,2023,Slight Sell,-0.0604,0.3333,0.3025,DECLINED,-0.0912,True
Mj Melendez,669004,2023,Slight Buy,0.0284,0.27,0.311,IMPROVED,0.0356,True
Brandon Marsh,669016,2023,Sell High,-0.1316,0.453,0.3415,DECLINED,-0.1229,True
Austin Hays,669720,2023,Slight Sell,-0.0458,0.4025,0.3813,DECLINED,-0.082,True
Isaac Paredes,670623,2023,Slight Sell,-0.04,0.3481,0.2926,DECLINED,0.0482,False
Triston Casas,671213,2023,Buy Low,0.0485,0.2668,0.2871,IMPROVED,0.1351,True
Luis García,671277,2023,Buy Low,0.0658,0.275,0.3314,IMPROVED,0.0236,True
Jarred Kelenic,672284,2023,Slight Sell,-0.0542,0.4213,0.4092,DECLINED,-0.1161,True
Ryan Noda,676116,2023,Sell High,-0.0652,0.3812,0.3536,DECLINED,-0.0302,True
Alec Burleson,676475,2023,Buy Low,0.0404,0.319,0.3372,IMPROVED,-0.0169,False
Alek Thomas,677950,2023,Buy Low,0.0484,0.2763,0.3396,IMPROVED,0.053,True
Bobby Witt,677951,2023,Buy Low,0.0406,0.2863,0.3086,IMPROVED,0.0598,True
Spencer Torkelson,679529,2023,Buy Low,0.046,0.2697,0.3227,IMPROVED,0.0653,True
James Outman,681546,2023,Sell High,-0.0839,0.4174,0.366,DECLINED,-0.113,True
Vinnie Pasquantino,686469,2023,Slight Buy,0.0278,0.3777,0.3979,IMPROVED,-0.0867,False
Michael Massey,686681,2023,Buy Low,0.0426,0.1685,0.2395,IMPROVED,0.1569,True
Carlos Santana,467793,2024,Slight Buy,0.0332,0.2816,0.3144,IMPROVED,0.0732,True
José Altuve,514888,2024,Slight Sell,-0.0579,0.435,0.369,DECLINED,-0.0985,True
Giancarlo Stanton,519317,2024,Slight Sell,-0.0646,0.3729,0.3217,DECLINED,-0.0232,True
George Springer,543807,2024,Slight Buy,0.0268,0.3114,0.3271,IMPROVED,0.0217,True
Bryce Harper,547180,2024,Buy Low,0.0422,0.3264,0.3534,IMPROVED,0.0786,True
Elías Díaz,553869,2024,Slight Sell,-0.0636,0.3307,0.2728,DECLINED,-0.0187,True
Michael Taylor,572191,2024,Sell High,-0.0695,0.2803,0.281,DECLINED,-0.0318,True
Nick Castellanos,592206,2024,Buy Low,0.0411,0.2416,0.2661,IMPROVED,0.0957,True
Aaron Judge,592450,2024,Slight Buy,0.0379,0.3388,0.359,IMPROVED,0.1951,True
Hunter Renfroe,592669,2024,Buy Low,0.0574,0.2397,0.2658,IMPROVED,0.1289,True
Eddie Rosario,592696,2024,Buy Low,0.1069,0.1398,0.2231,IMPROVED,0.1383,True
Xander Bogaerts,593428,2024,Buy Low,0.0418,0.2733,0.311,IMPROVED,0.1002,True
Francisco Lindor,596019,2024,Buy Low,0.0768,0.2898,0.3259,IMPROVED,0.0799,True
Josh Bell,605137,2024,Slight Buy,0.0226,0.2837,0.2724,IMPROVED,0.0449,True
Orlando Arcia,606115,2024,Slight Sell,-0.0588,0.3346,0.2673,DECLINED,-0.0726,True
Brandon Nimmo,607043,2024,Buy Low,0.0678,0.3305,0.4113,IMPROVED,0.0206,True
Corey Seager,608369,2024,Buy Low,0.0486,0.2882,0.3446,IMPROVED,0.0968,True
Joey Meneses,608841,2024,Buy Low,0.0481,0.2603,0.2994,IMPROVED,0.031,True
Byron Buxton,621439,2024,Slight Sell,-0.0602,0.3055,0.2581,DECLINED,0.0847,False
Dj Stewart,621466,2024,Slight Buy,0.0258,0.3711,0.365,IMPROVED,-0.1092,False
Taylor Ward,621493,2024,Slight Buy,0.0277,0.3421,0.3861,IMPROVED,-0.044,False
Adam Frazier,624428,2024,Slight Buy,0.0309,0.28,0.3118,IMPROVED,-0.0217,False
Jake Cronenworth,630105,2024,Slight Buy,0.0248,0.3522,0.387,IMPROVED,-0.0267,False
Tim Anderson,641313,2024,Slight Sell,-0.053,0.2757,0.2407,DECLINED,-0.0792,True
Mitch Garver,641598,2024,Slight Buy,0.0254,0.2557,0.263,IMPROVED,0.0384,True
Jonah Heim,641680,2024,Slight Sell,-0.0565,0.3056,0.2552,DECLINED,-0.0351,True
Ryan Mcmahon,641857,2024,Sell High,-0.1171,0.3957,0.342,DECLINED,-0.0671,True
Tyler O'Neill,641933,2024,Slight Sell,-0.0428,0.4551,0.4125,DECLINED,-0.1011,True
Rowdy Tellez,642133,2024,Slight Buy,0.0379,0.2533,0.3115,IMPROVED,0.0772,True
Amed Rosario,642708,2024,Slight Sell,-0.0453,0.3543,0.3036,DECLINED,-0.0152,True
Willy Adames,642715,2024,Slight Sell,-0.0521,0.4024,0.3501,DECLINED,-0.0747,True
Jeff Mcneil,643446,2024,Slight Buy,0.028,0.3065,0.3199,IMPROVED,-0.0162,False
Ozzie Albies,645277,2024,Slight Sell,-0.062,0.4005,0.3386,DECLINED,-0.1089,True
Josh Naylor,647304,2024,Slight Buy,0.0272,0.3689,0.3853,IMPROVED,-0.0396,False
Eloy Jiménez,650391,2024,Slight Buy,0.0256,0.309,0.3049,IMPROVED,-0.0312,False
Willi Castro,650489,2024,Slight Sell,-0.0538,0.3347,0.3014,DECLINED,0.0189,False
Stuart Fairchild,656413,2024,Slight Buy,0.0206,0.263,0.2979,IMPROVED,0.0734,True
Rhys Hoskins,656555,2024,Slight Buy,0.0311,0.3555,0.3732,IMPROVED,-0.0449,False
Connor Joe,656582,2024,Slight Sell,-0.0531,0.3591,0.3025,DECLINED,-0.0578,True
Ryan O'Hearn,656811,2024,Slight Buy,0.033,0.4365,0.4827,IMPROVED,-0.0903,False
Kyle Schwarber,656941,2024,Slight Buy,0.0282,0.316,0.3444,IMPROVED,0.0822,True
Lane Thomas,657041,2024,Slight Buy,0.0318,0.27,0.2826,IMPROVED,0.1039,True
Connor Wong,657136,2024,Slight Sell,-0.0587,0.3601,0.2945,DECLINED,-0.0185,True
Paul Dejong,657557,2024,Slight Sell,-0.0546,0.2882,0.2549,DECLINED,0.0261,False
Gavin Sheets,657757,2024,Slight Buy,0.0235,0.3358,0.3768,IMPROVED,-0.068,False
Elehuris Montero,660707,2024,Slight Buy,0.0247,0.25,0.2799,IMPROVED,0.0204,True
William Contreras,661388,2024,Slight Sell,-0.0649,0.4147,0.3619,DECLINED,-0.0913,True
Blake Perkins,663368,2024,Sell High,-0.0767,0.3771,0.3194,DECLINED,-0.0735,True
Tyler Nevin,663527,2024,Sell High,-0.0767,0.3569,0.3269,DECLINED,-0.1173,True
Austin Riley,663586,2024,Slight Buy,0.0235,0.3101,0.3361,IMPROVED,0.0531,True
Ke'Bryan Hayes,663647,2024,Slight Sell,-0.057,0.3417,0.2991,DECLINED,-0.0976,True
Alec Bohm,664761,2024,Sell High,-0.0762,0.4361,0.3888,DECLINED,-0.1005,True
Lamonte Wade,664774,2024,Sell High,-0.0865,0.4022,0.3855,DECLINED,-0.0516,True
Seth Brown,664913,2024,Slight Buy,0.0296,0.2345,0.2783,IMPROVED,0.0806,True
Jake Mccarthy,664983,2024,Sell High,-0.0685,0.3274,0.2769,DECLINED,0.0326,False
Fernando Tatís,665487,2024,Buy Low,0.069,0.3326,0.399,IMPROVED,0.0483,True
Vladimir Guerrero,665489,2024,Slight Buy,0.0245,0.3359,0.3648,IMPROVED,0.0886,True
Leody Taveras,665750,2024,Slight Buy,0.0253,0.2689,0.2985,IMPROVED,0.0197,True
Andrés Giménez,665926,2024,Slight Sell,-0.0505,0.3514,0.2993,DECLINED,-0.0811,True
Gavin Lux,666158,2024,Slight Buy,0.0275,0.2523,0.2646,IMPROVED,0.0727,True
Will Benson,666181,2024,Slight Sell,-0.0412,0.3132,0.2857,DECLINED,-0.0308,True
Bo Naylor,666310,2024,Slight Sell,-0.0547,0.3,0.2428,DECLINED,-0.0242,True
Christopher Morel,666624,2024,Slight Buy,0.0377,0.2841,0.3422,IMPROVED,0.0295,True
Randy Arozarena,668227,2024,Buy Low,0.0929,0.2066,0.2648,IMPROVED,0.1621,True
Bryan Reynolds,668804,2024,Slight Buy,0.0317,0.3446,0.3836,IMPROVED,0.042,True
Brice Turang,668930,2024,Slight Sell,-0.057,0.3684,0.3201,DECLINED,-0.0655,True
Shea Langeliers,669127,2024,Buy Low,0.0819,0.2718,0.3482,IMPROVED,0.0533,True
Will Smith,669257,2024,Slight Sell,-0.0582,0.4094,0.3675,DECLINED,-0.1029,True
Jack Suwinski,669261,2024,Buy Low,0.0554,0.2492,0.3081,IMPROVED,0.0306,True
Nolan Gorman,669357,2024,Slight Buy,0.0207,0.273,0.3135,IMPROVED,0.0336,True
Josh Smith,669701,2024,Sell High,-0.082,0.4103,0.364,DECLINED,-0.056,True
Yordan Álvarez,670541,2024,Buy Low,0.0775,0.3526,0.4197,IMPROVED,0.0506,True
Luis García,671277,2024,Slight Buy,0.0245,0.3056,0.3493,IMPROVED,0.0212,True
Tyler Freeman,671289,2024,Slight Buy,0.0202,0.3292,0.3323,IMPROVED,-0.0272,False
Lawrence Butler,671732,2024,Slight Buy,0.0238,0.3154,0.3635,IMPROVED,0.0676,True
Michael Harris,671739,2024,Slight Sell,-0.0418,0.3481,0.3189,DECLINED,-0.0752,True
Jarred Kelenic,672284,2024,Sell High,-0.0965,0.3477,0.2916,DECLINED,-0.0429,True
Alejandro Kirk,672386,2024,Buy Low,0.0836,0.242,0.2949,IMPROVED,0.0603,True
Gabriel Moreno,672515,2024,Buy Low,0.0411,0.2844,0.3128,IMPROVED,0.0414,True
Maikel García,672580,2024,Buy Low,0.0412,0.3054,0.339,IMPROVED,-0.027,False
Nelson Velázquez,676369,2024,Slight Sell,-0.0432,0.3114,0.2915,DECLINED,-0.0395,True
Chas Mccormick,676801,2024,Slight Sell,-0.0577,0.3016,0.2658,DECLINED,-0.019,True
Wilyer Abreu,677800,2024,Sell High,-0.068,0.3798,0.3166,DECLINED,-0.0519,True
Blaze Alexander,677942,2024,Sell High,-0.1028,0.4409,0.3168,DECLINED,-0.197,True
Ezequiel Tovar,678662,2024,Sell High,-0.0787,0.3294,0.2688,DECLINED,0.0225,False
Richie Palacios,680700,2024,Slight Sell,-0.0626,0.3917,0.348,DECLINED,-0.1048,True
Ryan Jeffers,680777,2024,Sell High,-0.0694,0.433,0.3459,DECLINED,-0.1366,True
Brendan Donovan,680977,2024,Buy Low,0.0723,0.2963,0.3451,IMPROVED,0.0428,True
Colton Cowser,681297,2024,Sell High,-0.0656,0.4088,0.3893,DECLINED,-0.0962,True
Elly De La Cruz,682829,2024,Slight Sell,-0.0465,0.4293,0.406,DECLINED,-0.0811,True
Riley Greene,682985,2024,Slight Buy,0.0222,0.375,0.3923,IMPROVED,-0.0175,False
Anthony Volpe,683011,2024,Slight Sell,-0.0441,0.3541,0.3203,DECLINED,-0.0558,True
Andrew Vaughn,683734,2024,Slight Buy,0.0328,0.238,0.2694,IMPROVED,0.0847,True
Colt Keith,690993,2024,Buy Low,0.0919,0.2098,0.3054,IMPROVED,0.1626,True
Masyn Winn,691026,2024,Slight Sell,-0.0536,0.3392,0.318,DECLINED,-0.0213,True
Trey Lipscomb,702358,2024,Sell High,-0.0725,0.3565,0.2949,DECLINED,-0.1391,True
Paul Goldschmidt,502671,2025,Sell High,-0.079,0.3862,0.3676,DECLINED,-0.0712,True
José Altuve,514888,2025,Slight Sell,-0.0461,0.324,0.2634,DECLINED,0.0429,False
Salvador Pérez,521692,2025,Buy Low,0.0553,0.2967,0.3948,IMPROVED,0.0403,True
Marcus Semien,543760,2025,Buy Low,0.0657,0.2407,0.3087,IMPROVED,0.0888,True
Mike Trout,545361,2025,Buy Low,0.0772,0.3021,0.3565,IMPROVED,0.0725,True
Bryce Harper,547180,2025,Slight Buy,0.0334,0.3496,0.3694,IMPROVED,0.0458,True
Eugenio Suárez,553993,2025,Slight Buy,0.0365,0.3712,0.3619,IMPROVED,0.0199,True
Mike Yastrzemski,573262,2025,Slight Sell,-0.0608,0.4,0.3437,DECLINED,-0.1151,True
Aaron Judge,592450,2025,Sell High,-0.1061,0.5354,0.49,DECLINED,-0.1017,True
Manny Machado,592518,2025,Slight Buy,0.0348,0.3303,0.3816,IMPROVED,0.0655,True
Jorge Polanco,593871,2025,Slight Sell,-0.0431,0.5138,0.4848,DECLINED,-0.2304,True
Javier Báez,595879,2025,Sell High,-0.1021,0.3395,0.2612,DECLINED,-0.0334,True
Ramón Urías,602104,2025,Slight Sell,-0.0639,0.3451,0.286,DECLINED,-0.0528,True
Josh Bell,605137,2025,Buy Low,0.0811,0.2368,0.2751,IMPROVED,0.1141,True
Mookie Betts,605141,2025,Slight Buy,0.0247,0.3276,0.3142,IMPROVED,-0.0286,False
Brandon Nimmo,607043,2025,Buy Low,0.0484,0.285,0.3229,IMPROVED,0.0767,True
Trea Turner,607208,2025,Slight Sell,-0.0423,0.3345,0.2929,DECLINED,0.0232,False
Alex Bregman,608324,2025,Sell High,-0.0699,0.4264,0.3559,DECLINED,-0.0554,True
Corey Seager,608369,2025,Slight Buy,0.0306,0.3512,0.3997,IMPROVED,0.023,True
Dansby Swanson,621020,2025,Slight Buy,0.0304,0.2898,0.3112,IMPROVED,0.0388,True
Carlos Correa,621043,2025,Slight Buy,0.0358,0.2643,0.28,IMPROVED,0.0755,True
Taylor Ward,621493,2025,Buy Low,0.0473,0.2798,0.2985,IMPROVED,0.0855,True
Matt Olson,621566,2025,Buy Low,0.0536,0.3469,0.3981,IMPROVED,0.0157,True
Michael Conforto,624424,2025,Slight Buy,0.0393,0.2613,0.3097,IMPROVED,0.0473,True
Jorge Soler,624585,2025,Slight Sell,-0.041,0.3335,0.2968,DECLINED,-0.0347,True
Cody Bellinger,641355,2025,Slight Buy,0.0281,0.2843,0.2864,IMPROVED,0.1099,True
Willy Adames,642715,2025,Slight Buy,0.0204,0.2763,0.2972,IMPROVED,0.0762,True
Rafael Devers,646240,2025,Slight Buy,0.0314,0.349,0.3955,IMPROVED,0.0199,True
Gleyber Torres,650402,2025,Buy Low,0.0413,0.3271,0.3617,IMPROVED,0.0424,True
Yandy Díaz,650490,2025,Slight Buy,0.0362,0.303,0.3269,IMPROVED,0.077,True
Zach Mckinstry,656716,2025,Sell High,-0.0956,0.3844,0.337,DECLINED,-0.0459,True
Cedric Mullins,656775,2025,Slight Sell,-0.0486,0.4113,0.3511,DECLINED,-0.1346,True
Pavin Smith,656976,2025,Sell High,-0.147,0.4786,0.386,DECLINED,-0.178,True
Ryan Mountcastle,663624,2025,Slight Buy,0.0278,0.276,0.2877,IMPROVED,0.0535,True
Jonathan India,663697,2025,Buy Low,0.0477,0.2787,0.3338,IMPROVED,0.0313,True
Joey Bart,663698,2025,Sell High,-0.0937,0.3725,0.3176,DECLINED,-0.1067,True
Trent Grisham,663757,2025,Slight Sell,-0.0455,0.4463,0.3936,DECLINED,-0.0895,True
Ty France,664034,2025,Slight Buy,0.0244,0.3447,0.3846,IMPROVED,-0.0472,False
Brandon Lowe,664040,2025,Buy Low,0.0451,0.2649,0.3368,IMPROVED,0.1323,True
Kyle Isbel,664728,2025,Slight Sell,-0.0554,0.265,0.1883,DECLINED,0.0318,False
Alec Bohm,664761,2025,Buy Low,0.0443,0.2361,0.2992,IMPROVED,0.1245,True
Lamonte Wade,664774,2025,Buy Low,0.0737,0.2375,0.2841,IMPROVED,0.0276,True
Fernando Tatís,665487,2025,Slight Sell,-0.0419,0.4571,0.435,DECLINED,-0.1194,True
Vladimir Guerrero,665489,2025,Slight Buy,0.0343,0.3523,0.3871,IMPROVED,0.0497,True
Jazz Chisholm,665862,2025,Slight Buy,0.0321,0.3276,0.3334,IMPROVED,0.0525,True
Andrés Giménez,665926,2025,Buy Low,0.0722,0.2476,0.3056,IMPROVED,0.0842,True
Nolan Jones,666134,2025,Buy Low,0.0486,0.2604,0.3199,IMPROVED,0.0326,True
Tyler Fitzgerald,666149,2025,Sell High,-0.0845,0.3544,0.2545,DECLINED,-0.109,True
Gavin Lux,666158,2025,Sell High,-0.0761,0.3789,0.3425,DECLINED,-0.0739,True
Mickey Moniak,666160,2025,Buy Low,0.053,0.3,0.3385,IMPROVED,0.081,True
Jo Adell,666176,2025,Buy Low,0.0465,0.2416,0.3052,IMPROVED,0.1277,True
Bo Bichette,666182,2025,Slight Buy,0.024,0.3105,0.3597,IMPROVED,0.0474,True
Christopher Morel,666624,2025,Slight Sell,-0.0583,0.3389,0.3344,DECLINED,-0.0667,True
Lourdes Gurriel,666971,2025,Buy Low,0.0817,0.2385,0.291,IMPROVED,0.0961,True
Spencer Steer,668715,2025,Slight Buy,0.0365,0.255,0.2776,IMPROVED,0.0793,True
Brice Turang,668930,2025,Slight Sell,-0.0618,0.3761,0.3478,DECLINED,-0.0722,True
Kyle Stowers,669065,2025,Slight Sell,-0.0629,0.3919,0.3712,DECLINED,0.0152,False
Tommy Edman,669242,2025,Slight Buy,0.0309,0.3625,0.3833,IMPROVED,-0.0755,False
Will Smith,669257,2025,Slight Sell,-0.054,0.3788,0.3428,DECLINED,0.04,False
Jake Burger,669394,2025,Buy Low,0.0435,0.2401,0.2859,IMPROVED,0.0817,True
Josh Smith,669701,2025,Sell High,-0.0994,0.383,0.3225,DECLINED,-0.0482,True
Kameron Misner,670224,2025,Sell High,-0.0986,0.403,0.3051,DECLINED,-0.1985,True
Taylor Walls,670764,2025,Slight Buy,0.0207,0.2247,0.2483,IMPROVED,0.0792,True
Luis García,671277,2025,Buy Low,0.05,0.2972,0.3361,IMPROVED,0.0231,True
Gabriel Arias,672356,2025,Slight Sell,-0.0514,0.3333,0.3058,DECLINED,-0.046,True
Alejandro Kirk,672386,2025,Buy Low,0.04,0.2683,0.2948,IMPROVED,0.1037,True
Gabriel Moreno,672515,2025,Buy Low,0.0448,0.2738,0.32,IMPROVED,0.1012,True
