name,mlbam_id,april_pa,ros_pa,actual_hr,actual_r,actual_rbi,actual_avg,actual_ros_woba,model_hr,model_r,model_rbi,model_avg,model_woba,naive_hr,naive_r,naive_rbi,naive_avg,naive_woba,rtm_hr,rtm_r,rtm_rbi,rtm_avg,rtm_woba,hr_err,signal,signal_norm,signal_hr,signal_avg,signal_woba
Bryce Harper,547180,135,220,27.0,72.0,75.0,0.261,0.39545454545454545,18.0,73.2,63.599999999999994,0.289,0.37188,20.4,66.0,54.0,0.234,0.3496296296296296,19.2,63.599999999999994,56.4,0.241,0.3338148148148148,-9.0,Buy low,buy low,18.900000000000002,0.289,0.4016304
Nick Kurtz,701762,25,263,36.0,90.0,86.0,0.29,0.45513307984790874,10.799999999999999,57.599999999999994,51.6,0.24,0.29128,0.0,48.0,44.4,0.25,0.21600000000000003,14.399999999999999,60.0,55.199999999999996,0.248,0.267,-25.200000000000003,neutral,neutral,10.799999999999999,0.24,0.29128
Ian Happ,664023,142,295,23.0,87.0,79.0,0.243,0.3164406779661017,15.6,64.8,57.599999999999994,0.261,0.35137,7.199999999999999,60.0,49.199999999999996,0.268,0.3422535211267605,13.2,62.4,54.0,0.258,0.33012676056338025,-7.4,Neutral,neutral,15.6,0.261,0.35137
Jackson Chourio,694192,137,335,21.0,88.0,78.0,0.27,0.34328358208955223,16.8,64.8,62.4,0.265,0.31083,24.0,69.6,72.0,0.277,0.3529197080291971,21.599999999999998,67.2,66.0,0.262,0.33545985401459855,-4.199999999999999,Neutral,neutral,16.8,0.265,0.31083
William Contreras,661388,125,318,17.0,89.0,76.0,0.26,0.324685534591195,12.0,66.0,55.199999999999996,0.275,0.33006,13.2,64.8,52.8,0.265,0.3456,15.6,63.599999999999994,55.199999999999996,0.256,0.3318,-5.0,Neutral,neutral,12.0,0.275,0.33006
Andy Pages,681624,100,319,27.0,74.0,86.0,0.272,0.3318181818181818,14.399999999999999,61.199999999999996,55.199999999999996,0.247,0.30814,33.6,81.6,82.8,0.297,0.38249999999999995,25.2,72.0,69.6,0.272,0.35024999999999995,-12.600000000000001,Slight sell,slight sell,14.399999999999999,0.247,0.29581440000000003
Spencer Torkelson,679529,131,305,31.0,82.0,78.0,0.24,0.3342622950819672,19.2,63.599999999999994,57.599999999999994,0.237,0.34355,33.6,73.2,69.6,0.241,0.37709923664122136,26.4,68.39999999999999,64.8,0.244,0.3475496183206107,-11.8,Neutral,neutral,19.2,0.237,0.34355
TJ Friedl,670770,134,327,14.0,82.0,53.0,0.261,0.3669724770642202,9.6,58.8,50.4,0.248,0.30704,3.5999999999999996,58.8,49.199999999999996,0.277,0.31641791044776113,10.799999999999999,60.0,52.8,0.263,0.3172089552238806,-4.4,Neutral,neutral,9.6,0.248,0.30704
Luis Arraez,650333,104,349,8.0,66.0,61.0,0.292,0.3216332378223496,8.4,68.39999999999999,61.199999999999996,0.31,0.31632,15.6,69.6,66.0,0.298,0.3350961538461539,16.8,66.0,61.199999999999996,0.273,0.32654807692307697,0.40000000000000036,Buy low,buy low,8.82,0.31,0.34162560000000003
Trent Grisham,663757,81,278,34.0,87.0,74.0,0.235,0.3568345323741007,18.0,56.4,51.6,0.205,0.3215,55.199999999999996,96.0,102.0,0.296,0.4462962962962963,34.8,78.0,78.0,0.269,0.3821481481481481,-16.0,Neutral,neutral,18.0,0.205,0.3215
Dansby Swanson,621020,127,313,24.0,84.0,77.0,0.244,0.32859424920127794,15.6,63.599999999999994,57.599999999999994,0.254,0.31705,21.599999999999998,55.199999999999996,54.0,0.198,0.28976377952755905,20.4,60.0,56.4,0.223,0.3038818897637795,-8.4,Buy low,buy low,16.38,0.254,0.342414
Hunter Goodman,696100,110,277,31.0,73.0,91.0,0.278,0.361913357400722,13.2,52.8,45.6,0.202,0.29149,25.2,72.0,68.39999999999999,0.271,0.3695454545454545,21.599999999999998,67.2,63.599999999999994,0.259,0.34377272727272723,-17.8,Neutral,neutral,13.2,0.202,0.29149
Ozzie Albies,645277,133,327,16.0,74.0,74.0,0.24,0.2981651376146789,12.0,61.199999999999996,54.0,0.255,0.30277,16.8,60.0,55.199999999999996,0.238,0.2924812030075188,16.8,61.199999999999996,56.4,0.243,0.3052406015037594,-4.0,Buy low,buy low,12.600000000000001,0.255,0.3269916
Gleyber Torres,650402,85,329,16.0,79.0,74.0,0.256,0.36945288753799393,15.6,66.0,60.0,0.266,0.33888,19.2,68.39999999999999,63.599999999999994,0.273,0.32705882352941174,19.2,66.0,61.199999999999996,0.259,0.32252941176470584,-0.40000000000000036,Buy low,buy low,16.38,0.266,0.36599040000000005
Shea Langeliers,669127,113,209,31.0,73.0,72.0,0.277,0.3430622009569378,15.6,57.599999999999994,52.8,0.224,0.31785,28.799999999999997,69.6,68.39999999999999,0.245,0.3398230088495575,24.0,66.0,63.599999999999994,0.247,0.3289115044247788,-15.4,Neutral,neutral,15.6,0.224,0.31785
Heliot Ramos,671218,134,334,21.0,85.0,69.0,0.256,0.34206586826347307,18.0,64.8,60.0,0.254,0.32091,16.8,62.4,57.599999999999994,0.25,0.32873134328358206,16.8,62.4,56.4,0.249,0.32336567164179103,-3.0,Neutral,neutral,18.0,0.254,0.32091
Sal Frelick,686217,125,278,12.0,76.0,63.0,0.288,0.3302158273381295,7.199999999999999,57.599999999999994,49.199999999999996,0.253,0.30274,3.5999999999999996,64.8,54.0,0.309,0.36599999999999994,10.799999999999999,63.599999999999994,55.199999999999996,0.279,0.34199999999999997,-4.800000000000001,Sell high,sell high,7.199999999999999,0.253,0.2785208
Salvador Perez,521692,123,306,30.0,54.0,100.0,0.236,0.3370915032679738,20.4,69.6,66.0,0.271,0.35261,8.4,52.8,48.0,0.237,0.2967479674796748,13.2,57.599999999999994,52.8,0.242,0.3073739837398374,-9.600000000000001,Buy low,buy low,21.419999999999998,0.271,0.3808188
Jo Adell,666176,89,290,37.0,63.0,98.0,0.236,0.3693103448275862,15.6,56.4,51.6,0.217,0.29604,12.0,46.8,44.4,0.19,0.24157303370786518,15.6,55.199999999999996,51.6,0.221,0.2797865168539326,-21.4,Buy low,buy low,16.38,0.217,0.31972320000000004
Jung Hoo Lee,808982,128,304,8.0,73.0,55.0,0.266,0.2870065789473684,10.799999999999999,63.599999999999994,55.199999999999996,0.271,0.31611,13.2,73.2,64.8,0.322,0.401171875,15.6,68.39999999999999,61.199999999999996,0.285,0.3595859375,2.799999999999999,Sell high,sell high,10.799999999999999,0.271,0.2908212
Jorge Polanco,593871,80,264,26.0,64.0,78.0,0.265,0.2833333333333334,22.8,67.2,64.8,0.25,0.366,62.4,116.39999999999999,127.19999999999999,0.389,0.51375,38.4,86.39999999999999,88.8,0.311,0.415875,-3.1999999999999993,Neutral,neutral,22.8,0.25,0.366
Wyatt Langford,694671,88,295,22.0,73.0,62.0,0.241,0.30847457627118646,18.0,66.0,60.0,0.26,0.34076,38.4,86.39999999999999,85.2,0.299,0.409659090909091,27.599999999999998,73.2,70.8,0.272,0.3638295454545455,-4.0,Slight sell,slight sell,18.0,0.26,0.3271296
Ceddanne Rafaela,678882,104,287,16.0,84.0,63.0,0.249,0.3405923344947735,19.2,64.8,60.0,0.249,0.31038,10.799999999999999,51.6,45.6,0.215,0.27692307692307694,14.399999999999999,57.599999999999994,51.6,0.232,0.29746153846153844,3.1999999999999993,Buy low,buy low,20.16,0.249,0.3352104
Ben Rice,700250,111,231,26.0,74.0,65.0,0.255,0.3132034632034632,22.8,68.39999999999999,63.599999999999994,0.253,0.33567,39.6,81.6,80.39999999999999,0.266,0.40990990990991,28.799999999999997,72.0,69.6,0.257,0.363954954954955,-3.1999999999999993,Neutral,neutral,22.8,0.253,0.33567
Lawrence Butler,671732,131,328,21.0,83.0,63.0,0.234,0.3094512195121951,16.8,63.599999999999994,56.4,0.247,0.3077,20.4,66.0,60.0,0.254,0.33358778625954194,19.2,64.8,58.8,0.251,0.325793893129771,-4.199999999999999,Slight sell,slight sell,16.8,0.247,0.295392
Bryson Stott,681082,115,271,13.0,66.0,66.0,0.257,0.26678966789667896,10.799999999999999,60.0,51.6,0.252,0.30215,9.6,67.2,56.4,0.297,0.3573913043478262,13.2,64.8,56.4,0.273,0.33769565217391306,-2.200000000000001,Sell high,sell high,10.799999999999999,0.252,0.277978
Willson Contreras,575929,131,305,20.0,70.0,80.0,0.257,0.37098360655737705,16.8,64.8,58.8,0.256,0.34253,12.0,54.0,48.0,0.222,0.28587786259541986,15.6,58.8,54.0,0.235,0.30193893129770993,-3.1999999999999993,Slight buy,slight buy,17.136000000000003,0.256,0.3562312
Brandon Lowe,664040,114,247,31.0,79.0,83.0,0.256,0.397165991902834,16.8,61.199999999999996,56.4,0.239,0.33185,19.2,56.4,55.199999999999996,0.217,0.2649122807017544,19.2,60.0,57.599999999999994,0.232,0.2914561403508772,-14.2,Buy low,buy low,17.64,0.239,0.358398
Otto Lopez,672640,119,260,15.0,66.0,77.0,0.246,0.35442307692307695,15.6,68.39999999999999,61.199999999999996,0.278,0.32372,8.4,54.0,45.6,0.231,0.2936974789915967,13.2,58.8,51.6,0.24,0.3058487394957984,0.5999999999999996,Buy low,buy low,16.38,0.278,0.34961760000000003
Christian Walker,572233,119,314,27.0,72.0,88.0,0.238,0.3144904458598726,18.0,63.599999999999994,58.8,0.247,0.32116,18.0,54.0,50.4,0.198,0.288655462184874,18.0,57.599999999999994,54.0,0.223,0.303327731092437,-9.0,Buy low,buy low,18.900000000000002,0.247,0.3468528
Xavier Edwards,669364,141,270,3.0,75.0,43.0,0.283,0.3459259259259259,7.199999999999999,67.2,57.599999999999994,0.3,0.3058,0.0,54.0,43.199999999999996,0.266,0.29326241134751774,8.4,57.599999999999994,50.4,0.257,0.3056312056737589,4.199999999999999,Neutral,neutral,7.199999999999999,0.3,0.3058
J.P. Crawford,641487,114,353,12.0,69.0,58.0,0.265,0.3206798866855524,13.2,62.4,52.8,0.249,0.33795,9.6,67.2,51.6,0.289,0.37105263157894736,13.2,64.8,54.0,0.268,0.3445263157894737,1.1999999999999993,Sell high,sell high,13.2,0.249,0.31091399999999997
Miguel Vargas,678246,119,316,16.0,80.0,60.0,0.234,0.32389240506329114,10.799999999999999,48.0,40.8,0.186,0.27259,3.5999999999999996,48.0,38.4,0.219,0.2773109243697479,10.799999999999999,55.199999999999996,48.0,0.234,0.29765546218487393,-5.200000000000001,Neutral,neutral,10.799999999999999,0.186,0.27259
Jacob Wilson,805779,117,280,13.0,62.0,63.0,0.311,0.36446428571428574,9.6,57.599999999999994,52.8,0.249,0.2974,14.399999999999999,73.2,72.0,0.327,0.3598290598290598,15.6,67.2,63.599999999999994,0.288,0.3389145299145299,-3.4000000000000004,Neutral,neutral,9.6,0.249,0.2974
Alec Burleson,676475,91,279,18.0,54.0,69.0,0.29,0.38387096774193546,8.4,56.4,49.199999999999996,0.243,0.27559,0.0,52.8,43.199999999999996,0.259,0.27197802197802196,9.6,57.599999999999994,50.4,0.253,0.294989010989011,-9.6,Neutral,neutral,8.4,0.243,0.27559
Jackson Holliday,702616,90,341,17.0,70.0,55.0,0.242,0.3237536656891496,9.6,49.199999999999996,42.0,0.196,0.27218,12.0,60.0,52.8,0.253,0.32611111111111113,15.6,61.199999999999996,56.4,0.25,0.32205555555555554,-7.4,Sell high,sell high,9.6,0.196,0.2504056
Matt Chapman,656305,133,226,21.0,76.0,61.0,0.231,0.3566371681415929,13.2,61.199999999999996,50.4,0.242,0.32816,20.4,60.0,48.0,0.198,0.3360902255639098,19.2,61.199999999999996,52.8,0.223,0.3270451127819549,-7.800000000000001,Neutral,neutral,13.2,0.242,0.32816
Bryan Reynolds,668804,136,302,16.0,68.0,73.0,0.245,0.2968543046357616,16.8,66.0,61.199999999999996,0.265,0.33213,12.0,56.4,50.4,0.236,0.28345588235294117,14.399999999999999,58.8,54.0,0.242,0.3007279411764706,0.8000000000000007,Neutral,neutral,16.8,0.265,0.33213
Ernie Clement,676391,77,327,9.0,83.0,50.0,0.277,0.3253822629969419,9.6,57.599999999999994,50.4,0.245,0.27706,0.0,48.0,39.6,0.239,0.2512987012987013,9.6,56.4,49.199999999999996,0.244,0.28464935064935065,0.5999999999999996,neutral,neutral,9.6,0.245,0.27706
Spencer Steer,668715,101,298,21.0,66.0,75.0,0.238,0.3342281879194631,15.6,61.199999999999996,55.199999999999996,0.241,0.30752,10.799999999999999,45.6,39.6,0.176,0.25495049504950495,14.399999999999999,54.0,48.0,0.212,0.2864752475247525,-5.4,Buy low,buy low,16.38,0.241,0.3321216
Ryan O'Hearn,656811,83,281,17.0,67.0,63.0,0.281,0.35871886120996443,16.8,68.39999999999999,61.199999999999996,0.275,0.34356,33.6,81.6,79.2,0.292,0.39096385542168677,25.2,70.8,67.2,0.268,0.3544819277108434,-0.1999999999999993,Neutral,neutral,16.8,0.275,0.34356
