mlbam_id,name,luck_signal,audit_correct,ros_woba,trend_score_v2,trend_dir_v2,recent_pa,prior_pa,l1,l2,l3,l4,l5
621020,Dansby Swanson,Slight Buy,True,0.3286,-0.1011,Cold,77,74,-0.0736,-0.0550,0.0151,0.0370,-0.0247
621566,Matt Olson,Buy Low,True,0.3626,-0.1189,Cold,92,73,-0.0463,-0.0481,0.0067,-0.0261,-0.0050
681351,Logan O'Hoppe,Slight Sell,True,0.2943,-0.1204,Cold,65,56,0.0615,-0.1452,-0.0617,0.0421,-0.0169
646240,Rafael Devers,Slight Buy,True,0.3689,-0.1238,Cold,93,84,-0.1957,-0.0409,0.1060,0.0129,-0.0061
656976,Pavin Smith,Sell High,True,0.3006,-0.1249,Cold,61,58,0.0513,-0.0583,-0.0629,-0.0437,-0.0113
665489,Vladimir Guerrero,Slight Buy,True,0.4020,-0.1406,Cold,84,79,-0.0371,-0.0760,-0.0101,-0.0141,-0.0033
514888,José Altuve,Slight Sell,False,0.3669,-0.1870,Cold,76,79,-0.0061,-0.1419,-0.0229,0.0043,-0.0204
521692,Salvador Pérez,Buy Low,True,0.3371,-0.1938,Cold,74,78,-0.0536,-0.1439,-0.0046,-0.0201,0.0284
680574,Matt Mclain,Buy Low,True,0.3011,-0.2158,Cold,87,46,-0.0469,-0.0196,0.0284,-0.0233,-0.1543
682829,Elly De La Cruz,Slight Sell,False,0.3790,-0.2291,Cold,90,81,-0.0384,-0.0777,-0.0545,0.0058,-0.0643
676572,Eric Wagaman,Buy Low,False,0.2697,-0.2356,Cold,75,62,-0.0265,-0.1530,-0.0323,-0.0217,-0.0022
665487,Fernando Tatís,Slight Sell,True,0.3376,-0.2398,Cold,78,75,0.0205,-0.2371,-0.0205,-0.0001,-0.0025
668930,Brice Turang,Slight Sell,True,0.3039,-0.2671,Cold,64,85,0.0254,-0.1728,-0.0497,-0.0129,-0.0570
