player_name,mlbam_id,year,signal,luck_score,era_actual,fip_actual,xera_actual,predicted_direction,actual_era_change,in_eval,correct
"Stripling, Ross",548389,2023,Neutral,0.0,6.46,7.34,7.18,,-1.69,False,
"Wheeler, Zack",554430,2023,Neutral,0.4394,3.9,1.99,2.67,,-0.25,False,
"Boyd, Matthew",571510,2023,Neutral,0.0,4.68,4.74,3.81,,0.92,False,
"Corbin, Patrick",571578,2023,Neutral,0.028,5.93,5.3,5.9,,-1.08,False,
"Heaney, Andrew",571760,2023,Neutral,0.0363,4.88,4.35,4.4,,0.24,False,
"Matz, Steven",571927,2023,Neutral,0.0089,5.26,5.05,5.12,,-1.7,False,
"Mikolas, Miles",571945,2023,Neutral,0.0,5.08,5.18,5.94,,-1.4,False,
"Stroman, Marcus",573186,2023,Neutral,-0.0385,2.76,3.75,4.15,,1.71,False,
"Kikuchi, Yusei",579328,2023,Slight sell,-0.111,3.08,4.62,4.51,DECLINED,0.94,True,True
"Gausman, Kevin",592332,2023,Neutral,0.3691,3.32,2.1,2.44,,0.06,False,
"Gray, Jon",592351,2023,Slight sell,-0.1392,3.28,5.41,5.43,DECLINED,0.51,True,True
"Smyly, Drew",592767,2023,Neutral,0.1766,3.54,2.74,1.34,,1.77,False,
"Syndergaard, Noah",592789,2023,Neutral,0.262,6.32,4.22,4.32,,0.75,False,
"Walker, Taijuan",592836,2023,Neutral,0.0,4.68,5.02,3.98,,-1.09,False,
"Williams, Trevor",592866,2023,Slight sell,-0.1046,3.81,4.48,5.34,DECLINED,1.35,True,True
"Germán, Domingo",593334,2023,Neutral,0.0,4.5,5.1,4.82,,-0.17,False,
"Rodriguez, Eduardo",593958,2023,Sell high,-0.2117,1.78,3.23,2.06,DECLINED,2.15,True,True
"Gonzales, Marco",594835,2023,Neutral,0.0969,5.18,4.13,4.38,,0.0,False,
"Junis, Jakob",596001,2023,Neutral,0.0887,7.71,6.1,5.7,,-3.14,False,
"Gomber, Austin",596295,2023,Neutral,0.0695,7.57,6.1,6.63,,-2.86,False,
"Pivetta, Nick",601713,2023,Neutral,0.0238,5.47,4.8,5.61,,-2.08,False,
"Bassitt, Chris",605135,2023,Neutral,0.0,5.18,5.22,5.29,,-0.88,False,
"Clevinger, Mike",605182,2023,Neutral,0.0,4.6,5.08,5.02,,-2.02,False,
"Nola, Aaron",605400,2023,Neutral,0.0533,3.69,3.48,3.04,,1.08,False,
"Snell, Blake",605483,2023,Slight sell,-0.0765,5.3,7.49,7.78,DECLINED,-3.41,True,False
"Rea, Colin",607067,2023,Neutral,0.0,4.87,5.07,4.24,,0.12,False,
"Martinez, Nick",607259,2023,Sell high,-0.1753,2.38,4.47,3.6,DECLINED,2.73,True,True
"Freeland, Kyle",607536,2023,Neutral,0.0,5.67,5.77,4.44,,0.04,False,
"Lugo, Seth",607625,2023,Neutral,0.0129,3.58,3.28,4.54,,0.17,False,
"Giolito, Lucas",608337,2023,Neutral,0.3143,4.5,3.16,3.49,,-0.59,False,
"Wacha, Michael",608379,2023,Neutral,0.1224,6.12,4.18,5.99,,-4.91,False,
"Suter, Brent",608718,2023,Neutral,0.0406,2.3,2.97,1.08,,3.04,False,
"Quantrill, Cal",615698,2023,Neutral,0.0712,5.76,4.42,5.18,,1.32,False,
"Kaprielian, James",621076,2023,Neutral,0.2798,13.5,7.54,7.26,,-9.17,False,
"Eflin, Zach",621107,2023,Neutral,-0.0484,3.05,3.39,3.72,,0.75,False,
"Berríos, José",621244,2023,Neutral,0.3692,4.45,1.97,4.1,,-1.3,False,
"Strahm, Matt",621381,2023,Sell high,-0.2232,1.21,2.43,2.57,DECLINED,4.38,True,True
"Castillo, Luis",622491,2023,Neutral,-0.005,2.2,2.16,3.68,,1.89,False,
"Flexen, Chris",623167,2023,Neutral,0.1738,9.31,6.31,5.31,,-0.45,False,
"Maeda, Kenta",628317,2023,Neutral,0.3292,8.62,4.38,4.4,,-5.94,False,
"Urías, Julio",628711,2023,Neutral,0.024,5.26,5.2,3.36,,0.29,False,
"Manaea, Sean",640455,2023,Neutral,0.0178,7.36,6.86,7.02,,-1.72,False,
"López, Pablo",641154,2023,Neutral,0.2758,3.9,2.47,3.07,,0.15,False,
"Alexander, Tyler",641302,2023,Neutral,0.0671,6.46,4.93,4.91,,-2.06,False,
"Cortes, Nestor",641482,2023,Neutral,0.0919,4.41,4.17,2.74,,-0.2,False,
"Dunning, Dane",641540,2023,Neutral,-0.0603,2.21,2.76,2.41,,1.11,False,
"Honeywell, Brent",641703,2023,Neutral,0.0,4.86,4.96,3.96,,1.32,False,
"Yarbrough, Ryan",642232,2023,Neutral,-0.03,4.86,4.54,5.8,,-1.8,False,
"Barria, Jaime",642545,2023,Neutral,0.1993,5.06,3.73,2.34,,0.22,False,
"Peralta, Freddy",642547,2023,Neutral,0.0613,3.18,2.78,3.04,,1.77,False,
"Alcantara, Sandy",645261,2023,Buy low,0.1371,4.81,3.35,4.42,IMPROVED,-0.59,True,True
"King, Michael",650633,2023,Buy low,0.2806,4.02,1.5,3.25,IMPROVED,0.67,True,False
"Bird, Jake",656234,2023,Neutral,0.2604,4.34,2.35,1.98,,2.47,False,
"Canning, Griffin",656288,2023,Neutral,-0.0328,3.6,3.83,4.51,,0.48,False,
"Cease, Dylan",656302,2023,Neutral,0.0483,5.62,4.35,5.03,,-1.99,False,
"Flaherty, Jack",656427,2023,Neutral,-0.0168,3.98,4.65,4.69,,0.08,False,
"Houck, Tanner",656557,2023,Neutral,0.1143,4.91,3.92,3.39,,-0.08,False,
"Keller, Mitch",656605,2023,Neutral,-0.0017,2.9,3.07,3.01,,1.57,False,
"Kopech, Michael",656629,2023,Neutral,0.0,6.66,6.92,8.15,,-2.82,False,
"Megill, Tylor",656731,2023,Slight sell,-0.1293,3.96,5.62,6.1,DECLINED,2.89,True,True
"Montgomery, Jordan",656756,2023,Neutral,0.1692,3.09,2.33,3.35,,1.08,False,
"Peterson, David",656849,2023,Neutral,0.1374,8.06,5.28,5.17,,-3.16,False,
"Steele, Justin",657006,2023,Sell high,-0.1936,2.02,2.96,2.75,DECLINED,1.62,True,True
"Webb, Logan",657277,2023,Buy low,0.2361,4.75,3.5,3.73,IMPROVED,-1.39,True,True
"Schmidt, Clarke",657376,2023,Neutral,0.1241,7.82,4.99,5.62,,-4.46,False,
"Baumann, Mike",657508,2023,Neutral,0.057,3.45,3.1,2.48,,2.84,False,
"Ryan, Joe",657746,2023,Neutral,0.069,3.09,2.85,2.08,,1.29,False,
"Fujinami, Shintaro",660261,2023,Neutral,0.2026,11.0,6.16,7.28,,-5.11,False,
"Ohtani, Shohei",660271,2023,Slight sell,-0.0933,2.28,2.96,2.51,DECLINED,1.93,True,True
"McClanahan, Shane",663556,2023,Neutral,0.0098,2.28,3.32,2.46,,1.13,False,
"Sandoval, Patrick",663776,2023,Neutral,0.0305,4.26,3.97,3.84,,-0.19,False,
"Singer, Brady",663903,2023,Neutral,0.2852,7.98,4.7,6.45,,-3.37,False,
"Valdez, Framber",664285,2023,Neutral,-0.0269,3.51,3.4,4.4,,0.25,False,
"Javier, Cristian",664299,2023,Slight sell,-0.1402,3.14,3.97,4.97,DECLINED,1.26,True,True
"Kremer, Dean",665152,2023,Neutral,0.0408,6.28,5.47,6.41,,-2.44,False,
"Cabrera, Edward",665795,2023,Neutral,0.0,4.0,5.14,4.0,,-0.17,False,
"Garrett, Braxton",666129,2023,Neutral,0.0208,2.45,2.37,4.07,,1.88,False,
"Thompson, Mason",666168,2023,Neutral,0.0341,2.6,2.41,1.98,,3.26,False,
"Luzardo, Jesús",666200,2023,Slight buy,0.1017,4.0,3.36,3.07,IMPROVED,-0.8,True,True
"Manoah, Alek",666201,2023,Slight sell,-0.1196,3.9,4.65,5.88,DECLINED,3.3,True,True
"Muller, Kyle",666205,2023,Neutral,0.0353,6.65,5.71,7.29,,2.08,False,
"Wentz, Joey",666214,2023,Neutral,0.0463,4.84,4.26,4.0,,1.79,False,
"Brito, Jhony",666745,2023,Neutral,0.0365,5.24,4.22,5.56,,-0.01,False,
"Gallen, Zac",668678,2023,Neutral,-0.031,1.38,1.39,0.86,,2.57,False,
"Greene, Hunter",668881,2023,Neutral,0.1776,2.96,1.46,2.37,,1.71,False,
"Ashcraft, Graham",668933,2023,Sell high,-0.282,1.8,3.43,3.51,DECLINED,4.52,True,True
"Gore, MacKenzie",669022,2023,Neutral,0.0,2.7,3.25,2.76,,2.35,False,
"Wilson, Bryse",669060,2023,Neutral,-0.0578,2.7,2.8,3.79,,2.16,False,
"Nelson, Ryne",669194,2023,Neutral,0.1206,6.39,4.84,4.62,,-1.71,False,
"Burnes, Corbin",669203,2023,Neutral,0.0,3.58,3.64,3.6,,-0.01,False,
"Gilbert, Logan",669302,2023,Buy low,0.1703,3.95,3.06,2.07,IMPROVED,-0.26,True,True
"Wells, Tyler",669330,2023,Neutral,-0.0214,2.79,3.62,2.47,,1.54,False,
"Englert, Mason",669438,2023,Neutral,0.1091,6.23,4.95,3.54,,0.89,False,
"Bieber, Shane",669456,2023,Neutral,0.0116,3.73,3.51,4.62,,0.61,False,
"Wesneski, Hayden",669713,2023,Neutral,0.0,5.64,5.74,5.99,,-1.56,False,
"Kirby, George",669923,2023,Neutral,0.114,2.97,2.14,3.43,,0.85,False,
"Winckowski, Josh",670174,2023,Slight sell,-0.128,1.47,2.83,1.56,DECLINED,3.69,True,True
"Oviedo, Johan",670912,2023,Neutral,0.3077,5.01,3.56,2.96,,-0.95,False,
"Bradley, Taj",671737,2023,Neutral,0.1929,3.52,2.19,1.34,,2.53,False,
"Detmers, Reid",672282,2023,Buy low,0.1449,5.13,3.86,3.93,IMPROVED,-1.23,True,True
"Contreras, Roansy",672710,2023,Neutral,0.1292,3.67,2.66,3.6,,4.73,False,
"Senga, Kodai",673540,2023,Neutral,0.0,3.76,5.19,4.65,,-0.49,False,
"Curry, Xzavion",675540,2023,Slight sell,-0.139,2.0,3.16,3.12,DECLINED,1.46,True,True
"Grove, Michael",675627,2023,Neutral,0.1513,6.32,4.31,3.94,,-0.01,False,
"Strider, Spencer",675911,2023,Neutral,0.0416,1.8,1.37,2.12,,2.75,False,
"Whitlock, Garrett",676477,2023,Neutral,0.0571,6.0,5.7,4.55,,-0.65,False,
"Fleming, Josh",676596,2023,Neutral,0.0321,3.26,2.69,3.71,,2.78,False,
"Sears, JP",676664,2023,Neutral,0.0507,6.04,5.27,4.83,,-2.58,False,
"Crawford, Kutter",676710,2023,Neutral,0.0,3.7,4.05,1.66,,0.28,False,
"Weathers, Ryan",677960,2023,Slight sell,-0.1105,2.6,3.45,4.43,DECLINED,6.64,True,True
"Rodriguez, Grayson",680570,2023,Neutral,-0.0237,2.96,2.73,3.92,,4.1,False,
"Gray, Josiah",680686,2023,Neutral,-0.0379,2.7,3.97,2.51,,1.14,False,
"Waldichuk, Ken",686610,2023,Neutral,0.0,6.1,6.84,5.42,,0.3,False,
"Brown, Hunter",686613,2023,Neutral,0.2032,3.07,1.94,2.46,,1.45,False,
"Kelly, Kevin",687330,2023,Neutral,0.3038,4.5,2.04,3.15,,-0.86,False,
"Elder, Bryce",693821,2023,Sell high,-0.3032,1.88,3.59,4.85,DECLINED,1.68,True,True
"Morton, Charlie",450203,2024,Neutral,0.2208,4.08,3.18,3.37,,0.52,False,
"Lynn, Lance",458681,2024,Neutral,-0.0322,4.05,5.09,4.83,,1.33,False,
"Carrasco, Carlos",471911,2024,Slight sell,-0.1354,3.44,5.34,5.05,DECLINED,2.14,True,True
"Quintana, Jose",500779,2024,Sell high,-0.349,3.07,4.02,6.54,DECLINED,1.64,True,True
"Gibson, Kyle",502043,2024,Neutral,0.0192,5.35,5.26,6.13,,-1.1,False,
"Robertson, David",502085,2024,Neutral,0.0141,2.4,1.97,3.07,,1.82,False,
"Anderson, Chase",502624,2024,Slight sell,-0.1034,4.12,5.59,5.58,DECLINED,2.63,True,True
"Darvish, Yu",506433,2024,Neutral,0.0487,5.95,4.88,4.99,,-3.75,False,
"Sale, Chris",519242,2024,Neutral,0.1104,3.13,2.78,1.47,,-0.98,False,
"Pérez, Martín",527048,2024,Sell high,-0.1632,2.65,2.84,4.92,DECLINED,4.15,True,True
"Anderson, Tyler",542881,2024,Sell high,-0.6884,2.36,5.31,4.95,DECLINED,1.04,True,True
"Armstrong, Shawn",542888,2024,Neutral,0.3705,4.11,1.27,1.82,,3.75,False,
"Eovaldi, Nathan",543135,2024,Neutral,0.0,3.6,4.44,4.02,,-0.27,False,
"Gray, Sonny",543243,2024,Neutral,0.2477,2.45,1.05,0.94,,1.8,False,
"Hendricks, Kyle",543294,2024,Neutral,0.1943,10.29,6.34,5.91,,-4.33,False,
"Suárez, Albert",544150,2024,Neutral,-0.0598,2.35,2.58,3.38,,2.0,False,
"Lorenzen, Michael",547179,2024,Neutral,0.0,4.37,4.56,5.25,,-1.13,False,
"Stripling, Ross",548389,2024,Neutral,0.2204,4.5,3.51,4.02,,4.61,False,
"Wheeler, Zack",554430,2024,Neutral,0.2559,3.47,2.52,2.1,,0.42,False,
"Ureña, José",570632,2024,Slight sell,-0.0784,3.06,3.44,4.15,DECLINED,0.3,True,True
"Corbin, Patrick",571578,2024,Neutral,0.1619,7.09,3.92,6.8,,-2.43,False,
