name,mlbam_id,current_xwOBA_model,true_xwOBA_savant,gap_difference,current_luck,corrected_luck,current_verdict,corrected_verdict,flipped,borderline
Jake Mangum,663968,0.274,0.278,+0.004,-0.1451,-0.1411,Slight sell,Slight sell,,borderline
Jazz Chisholm,665862,0.299,0.287,-0.012,-0.1292,-0.1412,Slight sell,Slight sell,,borderline
Ryan Waldschmidt,814439,0.329,0.323,-0.006,-0.1358,-0.1418,Slight sell,Slight sell,,borderline
Brice Turang,668930,0.396,0.383,-0.013,-0.1289,-0.1419,Slight sell,Slight sell,,borderline
Jesús Sánchez,660821,0.366,0.349,-0.017,-0.1262,-0.1432,Slight sell,Slight sell,,borderline
Adam Frazier,624428,0.261,0.251,-0.010,-0.1377,-0.1477,Slight sell,Slight sell,,borderline
Ryan Vilade,668723,0.349,0.320,-0.029,-0.1202,-0.1492,Slight sell,Slight sell,,borderline
Shea Langeliers,669127,0.410,0.391,-0.019,-0.1320,-0.1510,Slight sell,Sell high,YES,borderline
Chase Meidroth,805367,0.305,0.301,-0.004,-0.1498,-0.1538,Slight sell,Sell high,YES,borderline
Brooks Lee,686797,0.309,0.275,-0.034,-0.1265,-0.1605,Slight sell,Sell high,YES,borderline
Mike Yastrzemski,573262,0.305,0.280,-0.025,-0.1397,-0.1647,Slight sell,Sell high,YES,borderline
Colt Keith,690993,0.299,0.306,+0.007,-0.1745,-0.1675,Sell high,Sell high,,borderline
Chandler Simpson,802415,0.262,0.260,-0.002,-0.1657,-0.1677,Sell high,Sell high,,borderline
Richie Palacios,680700,0.322,0.310,-0.012,-0.1596,-0.1716,Slight sell,Sell high,YES,
Christian Yelich,592885,0.298,0.287,-0.011,-0.1611,-0.1721,Sell high,Sell high,,
Eugenio Suárez,553993,0.312,0.284,-0.028,-0.1476,-0.1756,Slight sell,Sell high,YES,
Leody Taveras,665750,0.328,0.329,+0.001,-0.1795,-0.1785,Sell high,Sell high,,
Willy Adames,642715,0.318,0.286,-0.032,-0.1495,-0.1815,Slight sell,Sell high,YES,
Brayan Rocchio,677587,0.341,0.328,-0.013,-0.1724,-0.1854,Sell high,Sell high,,
James Wood,695578,0.467,0.437,-0.030,-0.1557,-0.1857,Sell high,Sell high,,
Ezequiel Duran,677649,0.338,0.316,-0.022,-0.1679,-0.1899,Sell high,Sell high,,
Trevor Larnach,663616,0.339,0.323,-0.016,-0.1780,-0.1940,Sell high,Sell high,,
Joey Wiemer,686894,0.307,0.315,+0.008,-0.2064,-0.1984,Sell high,Sell high,,
Troy Johnston,687859,0.335,0.331,-0.004,-0.1983,-0.2023,Sell high,Sell high,,
Teoscar Hernández,606192,0.359,0.340,-0.019,-0.1884,-0.2074,Sell high,Sell high,,
Carson Kelly,608348,0.313,0.321,+0.008,-0.2204,-0.2124,Sell high,Sell high,,
Nick Gonzales,693304,0.332,0.334,+0.002,-0.2167,-0.2147,Sell high,Sell high,,
Carlos Cortes,666126,0.409,0.389,-0.020,-0.1964,-0.2164,Sell high,Sell high,,
Casey Schmitt,669477,0.397,0.367,-0.030,-0.1885,-0.2185,Sell high,Sell high,,
Daniel Schneemann,682177,0.330,0.319,-0.011,-0.2077,-0.2187,Sell high,Sell high,,
Brandon Marsh,669016,0.346,0.330,-0.016,-0.2035,-0.2195,Sell high,Sell high,,
Heliot Ramos,671218,0.339,0.326,-0.013,-0.2080,-0.2210,Sell high,Sell high,,
Taylor Walls,670764,0.248,0.241,-0.007,-0.2154,-0.2224,Sell high,Sell high,,
Corbin Carroll,682998,0.400,0.381,-0.019,-0.2037,-0.2227,Sell high,Sell high,,
Jorge Mateo,622761,0.316,0.309,-0.007,-0.2185,-0.2255,Sell high,Sell high,,
Daulton Varsho,662139,0.339,0.315,-0.024,-0.2016,-0.2256,Sell high,Sell high,,
Owen Caissie,683357,0.298,0.282,-0.016,-0.2101,-0.2261,Sell high,Sell high,,
Max Muncy,691777,0.315,0.303,-0.012,-0.2208,-0.2328,Sell high,Sell high,,
Otto Lopez,672640,0.348,0.334,-0.014,-0.2218,-0.2358,Sell high,Sell high,,
Konnor Griffin,804606,0.314,0.311,-0.003,-0.2330,-0.2360,Sell high,Sell high,,
Jordan Walker,691023,0.406,0.382,-0.024,-0.2228,-0.2468,Sell high,Sell high,,
Brandon Lockridge,663604,0.274,0.277,+0.003,-0.2509,-0.2479,Sell high,Sell high,,
Matt Chapman,656305,0.272,0.263,-0.009,-0.2437,-0.2527,Sell high,Sell high,,
Luke Raley,670042,0.412,0.385,-0.027,-0.2261,-0.2531,Sell high,Sell high,,
Jake Bauers,641343,0.378,0.351,-0.027,-0.2426,-0.2696,Sell high,Sell high,,
Garrett Mitchell,669003,0.334,0.330,-0.004,-0.3173,-0.3213,Sell high,Sell high,,
Nick Kurtz,701762,0.392,0.385,-0.007,-0.3536,-0.3606,Sell high,Sell high,,
Oneil Cruz,665833,0.359,0.340,-0.019,-0.3789,-0.3979,Sell high,Sell high,,
Riley Greene,682985,0.381,0.373,-0.008,-0.3917,-0.3997,Sell high,Sell high,,
Randy Arozarena,668227,0.352,0.334,-0.018,-0.4232,-0.4412,Sell high,Sell high,,
Oswald Peraza,672724,0.365,0.330,-0.035,-0.4531,-0.4881,Sell high,Sell high,,
