pitcher,year,era,fip,era_fip_gap,ip,signal_e,signal_f,signal_g,signal_h,outcome,era_change
527048,2022,2.61,2.28,0.33000000000000007,20.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.08999999999999986
542881,2022,2.55,2.82,-0.27,17.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.11999999999999966
543037,2022,2.42,3.18,-0.7600000000000002,27.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.7800000000000002
543135,2022,3.12,4.48,-1.3600000000000003,34.666666666666664,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.2299999999999995
543294,2022,6.28,6.55,-0.2699999999999996,28.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.7800000000000002
543475,2022,5.11,5.21,-0.09999999999999964,24.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.96
547179,2022,3.6,4.0,-0.3999999999999999,20.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.3800000000000003
548389,2022,2.77,1.48,1.29,16.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.6099999999999999
554430,2022,4.34,3.15,1.19,18.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.7399999999999998
571578,2022,4.32,2.62,1.7000000000000002,18.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.7199999999999998
571945,2022,1.26,3.16,-1.9000000000000001,35.666666666666664,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.2199999999999998
573186,2022,6.98,4.96,2.0200000000000005,19.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-3.9200000000000004
579328,2022,5.89,6.26,-0.3700000000000001,18.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.5299999999999994
592332,2022,2.37,1.29,1.08,30.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.5899999999999999
592662,2022,4.29,3.86,0.43000000000000016,35.666666666666664,SLIGHT_BUY,SLIGHT_BUY,SLIGHT_BUY,SLIGHT_BUY,FLAT,-0.11000000000000032
592767,2022,4.09,4.65,-0.5600000000000005,22.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.13
592789,2022,2.05,2.15,-0.10000000000000009,22.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.7400000000000002
592791,2022,3.37,3.69,-0.31999999999999984,18.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.2599999999999998
593423,2022,3.6,3.57,0.03000000000000025,30.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.2200000000000002
594835,2022,6.86,5.03,1.83,20.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-3.47
596295,2022,3.96,4.86,-0.9000000000000004,25.0,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,DECLINED,1.3600000000000003
601713,2022,7.08,6.2,0.8799999999999999,20.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-3.7800000000000002
605135,2022,3.14,3.62,-0.48,28.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,0.77
605164,2022,3.0,2.96,0.040000000000000036,21.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,2.75
605200,2022,4.91,4.92,-0.009999999999999787,22.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.9000000000000004
605288,2022,1.98,2.73,-0.75,27.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,5.01
605397,2022,4.34,2.76,1.58,29.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.7399999999999998
605400,2022,3.38,3.32,0.06000000000000005,32.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.4299999999999997
605507,2022,9.95,5.84,4.109999999999999,19.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-6.129999999999999
605540,2022,3.86,3.44,0.41999999999999993,23.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.98
607074,2022,1.17,0.84,0.32999999999999996,23.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,2.27
607200,2022,4.43,3.91,0.5199999999999996,22.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.7099999999999995
607259,2022,4.38,6.22,-1.8399999999999999,24.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,IMPROVED,-0.46999999999999975
607536,2022,4.68,3.34,1.3399999999999999,25.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.5800000000000001
608331,2022,3.21,2.99,0.21999999999999975,28.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.02
608337,2022,4.5,3.16,1.3399999999999999,18.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.9000000000000004
608344,2022,3.38,4.35,-0.9699999999999998,32.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,FLAT,-0.2799999999999998
608379,2022,3.33,5.36,-2.0300000000000002,24.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,FLAT,-0.07000000000000028
608566,2022,5.13,4.2,0.9299999999999997,26.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.41999999999999993
615698,2022,3.65,4.11,-0.4600000000000004,24.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,0.9200000000000004
621107,2022,3.91,2.27,1.6400000000000001,23.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.5599999999999996
621111,2022,3.72,4.34,-0.6199999999999997,29.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.4599999999999995
621112,2022,1.99,2.0,-0.010000000000000009,22.666666666666668,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,DECLINED,2.46
621244,2022,2.2,3.69,-1.4899999999999998,29.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.4299999999999997
621368,2022,7.45,4.7,2.75,19.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-2.75
622072,2022,6.45,3.77,2.68,22.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-3.1900000000000004
622608,2022,3.79,3.63,0.16000000000000014,19.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.4400000000000004
622663,2022,2.42,3.1,-0.6800000000000002,22.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.5500000000000003
622694,2022,5.85,5.75,0.09999999999999964,21.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.7300000000000004
623167,2022,4.55,4.83,-0.28000000000000025,27.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.3299999999999996
624133,2022,4.12,4.64,-0.5199999999999996,24.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.8300000000000001
624522,2022,0.93,2.43,-1.5,19.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,3.1299999999999994
628711,2022,5.4,5.1,0.3000000000000007,20.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-2.3200000000000003
640444,2022,0.0,1.54,-1.54,20.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.84
640455,2022,2.91,3.31,-0.3999999999999999,34.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.7199999999999998
641154,2022,1.69,2.24,-0.5500000000000003,26.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.24
641482,2022,1.61,1.31,0.30000000000000004,22.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.03
641540,2022,4.33,3.58,0.75,27.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.019999999999999574
641712,2022,2.84,4.42,-1.58,19.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.3200000000000003
641745,2022,4.34,4.07,0.2699999999999996,29.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.23000000000000043
641771,2022,1.93,3.66,-1.7300000000000002,23.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,4.010000000000001
641778,2022,2.31,2.5,-0.18999999999999995,23.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,2.3800000000000003
641816,2022,5.54,2.33,3.21,26.0,BUY_LOW,BUY_LOW,BUY_LOW,BUY_LOW,IMPROVED,-2.11
645261,2022,1.88,3.22,-1.3400000000000003,24.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,0.5500000000000003
650644,2022,10.19,4.63,5.56,17.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-6.369999999999999
656302,2022,2.08,2.5,-0.41999999999999993,21.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.33000000000000007
656557,2022,1.96,3.75,-1.79,24.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.5899999999999999
656605,2022,7.29,4.24,3.05,21.0,BUY_LOW,BUY_LOW,BUY_LOW,BUY_LOW,IMPROVED,-3.68
656629,2022,2.66,3.15,-0.48999999999999977,20.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.9099999999999997
656756,2022,2.25,3.0,-0.75,20.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.62
656876,2022,2.95,2.63,0.3200000000000003,21.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.2999999999999998
657006,2022,5.4,3.86,1.5400000000000005,18.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.17
657093,2022,3.98,5.12,-1.1400000000000001,20.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,0.52
657140,2022,0.96,0.89,0.06999999999999995,28.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,2.21
657277,2022,3.0,2.8,0.20000000000000018,30.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.27
657746,2022,1.19,2.84,-1.65,22.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,3.57
660271,2022,3.72,2.12,1.6,19.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.2400000000000002
660761,2022,6.1,5.76,0.33999999999999986,20.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.92
663474,2022,3.79,2.47,1.3199999999999998,19.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.6000000000000001
663556,2022,2.93,2.35,0.5800000000000001,30.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.0000000000000002
663738,2022,3.92,5.23,-1.3100000000000005,20.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.5099999999999998
663776,2022,1.86,2.43,-0.5700000000000001,19.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.5
664062,2022,3.0,3.15,-0.1499999999999999,21.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.41000000000000014
664141,2022,6.08,4.71,1.37,23.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.7400000000000002
664285,2022,2.75,3.2,-0.4500000000000002,19.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.0
664353,2022,4.74,4.64,0.10000000000000053,24.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.25
666120,2022,4.03,5.43,-1.3999999999999995,22.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.11000000000000032
666201,2022,1.23,2.72,-1.4900000000000002,29.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.7400000000000002
668676,2022,3.42,4.03,-0.6100000000000003,23.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.0999999999999996
668678,2022,0.96,2.19,-1.23,18.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.44
668881,2022,4.84,6.46,-1.62,22.333333333333332,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,FLAT,0.20999999999999996
669022,2022,3.5,3.1,0.3999999999999999,18.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.7999999999999998
669060,2022,4.74,4.94,-0.20000000000000018,19.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,2.3
669145,2022,4.03,3.06,0.9700000000000002,22.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,3.3
669203,2022,1.72,2.84,-1.1199999999999999,31.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,0.7500000000000002
669302,2022,1.78,2.78,-0.9999999999999998,25.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.7699999999999998
669330,2022,2.45,3.44,-0.9899999999999998,16.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.9099999999999997
669373,2022,4.21,1.27,2.94,25.666666666666668,BUY_LOW,BUY_LOW,BUY_LOW,BUY_LOW,FLAT,-0.2999999999999998
669432,2022,2.66,2.61,0.050000000000000266,22.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,3.3099999999999996
669456,2022,3.06,3.19,-0.1299999999999999,32.333333333333336,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.6200000000000001
672282,2022,3.86,4.2,-0.3400000000000003,21.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.6299999999999999
672851,2022,6.07,5.16,0.9100000000000001,26.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.3899999999999997
676477,2022,1.15,2.14,-0.9900000000000002,16.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,3.1199999999999997
676879,2022,2.35,3.95,-1.6,18.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,2.73
677651,2022,3.65,4.32,-0.6700000000000004,24.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,FLAT,0.3500000000000001
680686,2022,5.4,4.39,1.0100000000000007,23.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.5700000000000003
425844,2023,7.2,5.9,1.2999999999999998,25.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-2.4800000000000004
446372,2023,4.79,5.28,-0.4900000000000002,20.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,3.3999999999999995
448179,2023,4.78,5.1,-0.3199999999999994,32.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.5599999999999996
450203,2023,3.38,3.88,-0.5,29.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.5900000000000003
458681,2023,7.33,5.03,2.3,27.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.9400000000000004
477132,2023,2.58,2.71,-0.1299999999999999,38.333333333333336,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.43999999999999995
489119,2023,1.88,3.1,-1.2200000000000002,28.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.56
502043,2023,3.38,4.26,-0.8799999999999999,29.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.0099999999999998
502171,2023,2.7,2.65,0.050000000000000266,33.333333333333336,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.54
506433,2023,3.07,3.24,-0.17000000000000037,29.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.6099999999999999
518876,2023,2.89,3.67,-0.7799999999999998,28.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.6999999999999997
527048,2023,3.0,3.92,-0.9199999999999999,33.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.8200000000000003
542881,2023,5.13,5.95,-0.8200000000000003,26.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.6499999999999995
543037,2023,1.07,1.94,-0.8699999999999999,33.666666666666664,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.26
543101,2023,3.0,3.33,-0.33000000000000007,30.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.8
543135,2023,4.21,1.72,2.49,36.333333333333336,BUY_LOW,BUY_LOW,BUY_LOW,BUY_LOW,IMPROVED,-2.11
543243,2023,0.77,1.79,-1.02,35.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.88
543475,2023,6.31,5.88,0.4299999999999997,35.666666666666664,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.17
548389,2023,4.61,6.1,-1.4899999999999993,15.333333333333334,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.1200000000000001
554430,2023,3.9,1.99,1.91,32.333333333333336,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.29000000000000004
571510,2023,4.68,4.74,-0.0600000000000005,25.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.14999999999999947
571578,2023,5.93,5.3,0.6299999999999999,27.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.2699999999999996
571760,2023,4.88,4.35,0.5300000000000002,24.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.1900000000000004
571927,2023,5.26,5.05,0.20999999999999996,25.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.94
571945,2023,5.08,5.18,-0.09999999999999964,28.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.42
573186,2023,2.76,3.75,-0.9900000000000002,29.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.6600000000000001
579328,2023,3.08,4.62,-1.54,26.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,0.79
592332,2023,3.32,2.1,1.2199999999999998,38.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.040000000000000036
592351,2023,3.28,5.41,-2.1300000000000003,24.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,0.4200000000000004
592767,2023,3.54,2.74,0.7999999999999998,28.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.4699999999999998
592836,2023,4.68,5.02,-0.33999999999999986,25.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.4999999999999996
592866,2023,3.81,4.48,-0.6700000000000004,26.0,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,1.2399999999999998
593334,2023,4.5,5.1,-0.5999999999999996,26.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.33000000000000007
593958,2023,1.78,3.23,-1.45,30.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.08
596001,2023,8.59,6.71,1.88,16.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-5.43
596295,2023,7.57,6.1,1.4700000000000006,27.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-3.0200000000000005
601713,2023,5.47,4.8,0.6699999999999999,24.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-2.0199999999999996
605135,2023,5.18,5.22,-0.040000000000000036,33.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.9399999999999995
605182,2023,4.6,5.08,-0.4800000000000004,29.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-2.0199999999999996
605400,2023,3.69,3.48,0.20999999999999996,31.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.9899999999999998
605483,2023,5.3,7.49,-2.1900000000000004,18.666666666666668,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,IMPROVED,-3.41
607067,2023,4.87,5.07,-0.20000000000000018,20.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.1900000000000004
607259,2023,2.38,4.47,-2.09,22.666666666666668,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,FLAT,0.22999999999999998
607536,2023,5.67,5.77,-0.09999999999999964,27.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.3200000000000003
607625,2023,3.58,3.28,0.30000000000000027,27.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.1299999999999999
608337,2023,4.5,3.16,1.3399999999999999,34.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-0.7400000000000002
608379,2023,6.12,4.18,1.9400000000000004,25.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-4.91
608718,2023,3.24,2.38,0.8600000000000003,15.666666666666666,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-2.6
615698,2023,5.76,4.42,1.3399999999999999,25.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,0.8799999999999999
621076,2023,12.15,8.43,3.7200000000000006,16.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-8.120000000000001
621107,2023,3.05,3.39,-0.3400000000000003,20.666666666666668,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,SLIGHT_SELL,DECLINED,0.7000000000000002
621244,2023,4.45,1.97,2.4800000000000004,28.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-1.4500000000000002
621381,2023,1.21,2.43,-1.2200000000000002,22.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.42
622491,2023,2.2,2.16,0.040000000000000036,28.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,DECLINED,1.5599999999999996
628317,2023,8.62,4.38,4.239999999999999,15.666666666666666,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-5.989999999999999
628711,2023,5.26,5.2,0.05999999999999961,25.666666666666668,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,-0.04999999999999982
640455,2023,7.41,6.63,0.7800000000000002,18.333333333333332,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,IMPROVED,-2.71
641154,2023,3.9,2.47,1.4299999999999997,30.0,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,FLAT,0.040000000000000036
641540,2023,1.08,2.38,-1.2999999999999998,20.333333333333332,SELL_HIGH,SELL_HIGH,SELL_HIGH,SELL_HIGH,DECLINED,2.1
