sweep,param,value,signal,acc_2022,acc_2023,acc_2024,acc_2025,acc_4yr,n_total,n_2025,is_prod,is_recommended
P6: Pitcher Slight Buy — Luck Score Lower Bound,SB LS Threshold,0.07,SLIGHT_BUY,,1.0,1.0,1.0,1.0,3,1,False,False
P6: Pitcher Slight Buy — Luck Score Lower Bound,SB LS Threshold,0.08,SLIGHT_BUY,,1.0,1.0,1.0,1.0,3,1,False,False
H1: Hitter Buy Low — Luck Score Threshold,BL Threshold,0.08,BUY_LOW,0.85,0.8032786885245902,0.84375,0.9130434782608695,0.8547008547008547,234,69,False,False
H1: Hitter Buy Low — Luck Score Threshold,BL Threshold,0.1,BUY_LOW,0.8918918918918919,0.8545454545454545,0.8983050847457628,0.9242424242424242,0.8940092165898618,217,66,False,False
H1: Hitter Buy Low — Luck Score Threshold,BL Threshold,0.12,BUY_LOW,0.9142857142857143,0.86,0.9259259259259259,0.9516129032258065,0.9154228855721394,201,62,False,False
H1: Hitter Buy Low — Luck Score Threshold,BL Threshold,0.13,BUY_LOW,0.9142857142857143,0.8541666666666666,0.9230769230769231,0.9655172413793104,0.917098445595855,193,58,False,True
H1: Hitter Buy Low — Luck Score Threshold,BL Threshold,0.14,BUY_LOW,0.9142857142857143,0.8666666666666667,0.9215686274509803,0.9655172413793104,0.9206349206349206,189,58,False,False
H1: Hitter Buy Low — Luck Score Threshold,BL Threshold,0.15,BUY_LOW,0.9142857142857143,0.8571428571428571,0.9375,0.9649122807017544,0.9230769230769231,182,57,True,False
H2: Hitter Slight Buy — Luck Score Threshold,SB Threshold,0.04,SLIGHT_BUY,0.75,0.6666666666666666,0.5,0.4666666666666667,0.55,40,15,False,False
H2: Hitter Slight Buy — Luck Score Threshold,SB Threshold,0.05,SLIGHT_BUY,0.75,0.75,0.5,0.5384615384615384,0.5945945945945946,37,13,False,False
H2: Hitter Slight Buy — Luck Score Threshold,SB Threshold,0.055,SLIGHT_BUY,0.6666666666666666,0.7142857142857143,0.45454545454545453,0.6363636363636364,0.59375,32,11,False,False
H2: Hitter Slight Buy — Luck Score Threshold,SB Threshold,0.06,SLIGHT_BUY,0.5,0.6666666666666666,0.5,0.6363636363636364,0.5862068965517241,29,11,False,False
H2: Hitter Slight Buy — Luck Score Threshold,SB Threshold,0.065,SLIGHT_BUY,0.5,0.6666666666666666,0.5,0.875,0.6538461538461539,26,8,True,True
H2: Hitter Slight Buy — Luck Score Threshold,SB Threshold,0.07,SLIGHT_BUY,0.5,0.6666666666666666,0.5,0.875,0.6538461538461539,26,8,False,False
H3: Hitter Slight Buy — xwOBA Gap Gate,xwOBA Gate,0.0,SLIGHT_BUY,0.5,0.6521739130434783,0.5,0.6666666666666666,0.59375,64,15,False,False
H3: Hitter Slight Buy — xwOBA Gap Gate,xwOBA Gate,0.01,SLIGHT_BUY,0.5,0.7777777777777778,0.5,0.8888888888888888,0.6875,32,9,False,False
H3: Hitter Slight Buy — xwOBA Gap Gate,xwOBA Gate,0.015,SLIGHT_BUY,0.5,0.6666666666666666,0.5,0.875,0.6538461538461539,26,8,True,False
H3: Hitter Slight Buy — xwOBA Gap Gate,xwOBA Gate,0.02,SLIGHT_BUY,0.5,0.8,0.625,0.8333333333333334,0.7142857142857143,21,6,False,False
H3: Hitter Slight Buy — xwOBA Gap Gate,xwOBA Gate,0.025,SLIGHT_BUY,0.5,0.8,0.5714285714285714,1.0,0.6875,16,2,False,True
H4: Hitter Sell High — Luck Score Threshold,SH Threshold,-0.08,SELL_HIGH,0.9090909090909091,0.8936170212765957,0.8421052631578947,0.8979591836734694,0.88,175,49,False,False
H4: Hitter Sell High — Luck Score Threshold,SH Threshold,-0.1,SELL_HIGH,1.0,0.8888888888888888,0.9,0.9069767441860465,0.9096774193548387,155,43,False,False
H4: Hitter Sell High — Luck Score Threshold,SH Threshold,-0.12,SELL_HIGH,1.0,0.875,0.8958333333333334,0.9230769230769231,0.9084507042253521,142,39,False,False
H4: Hitter Sell High — Luck Score Threshold,SH Threshold,-0.13,SELL_HIGH,1.0,0.8947368421052632,0.8936170212765957,0.918918918918919,0.9124087591240876,137,37,False,False
H4: Hitter Sell High — Luck Score Threshold,SH Threshold,-0.14,SELL_HIGH,1.0,0.8918918918918919,0.8863636363636364,0.9142857142857143,0.9076923076923077,130,35,False,False
H4: Hitter Sell High — Luck Score Threshold,SH Threshold,-0.15,SELL_HIGH,1.0,0.9142857142857143,0.8809523809523809,0.9375,0.9186991869918699,123,32,True,True
H5: Hitter Slight Sell — Luck Score Threshold,SS Threshold,-0.04,SLIGHT_SELL,0.75,0.8421052631578947,0.6785714285714286,0.6785714285714286,0.7241379310344828,87,28,False,False
H5: Hitter Slight Sell — Luck Score Threshold,SS Threshold,-0.05,SLIGHT_SELL,0.75,0.8125,0.72,0.7083333333333334,0.7402597402597403,77,24,False,False
H5: Hitter Slight Sell — Luck Score Threshold,SS Threshold,-0.06,SLIGHT_SELL,0.75,0.8,0.8181818181818182,0.7142857142857143,0.7714285714285715,70,21,False,False
H5: Hitter Slight Sell — Luck Score Threshold,SS Threshold,-0.07,SLIGHT_SELL,0.6666666666666666,0.8571428571428571,0.7894736842105263,0.7894736842105263,0.7868852459016393,61,19,False,False
H5: Hitter Slight Sell — Luck Score Threshold,SS Threshold,-0.085,SLIGHT_SELL,0.75,0.8181818181818182,0.7333333333333333,0.8235294117647058,0.7843137254901961,51,17,True,True
